,year,CA,TX,ND,WY,PA,WV,OK,FL,NY,OH
0,2000,53.6,41.588235294117645,35.0,27.714285714285715,40.72222222222222,52.666666666666664,41.07692307692308,40.3,32.06666666666667,41.09090909090909
1,2001,54.25714285714286,41.611111111111114,35.0,31.571428571428573,45.333333333333336,52.166666666666664,41.083333333333336,38.68181818181818,35.0,43.333333333333336
2,2002,57.61764705882353,41.388888888888886,33.5,30.142857142857142,43.666666666666664,48.5,38.833333333333336,38.523809523809526,34.6,45.89473684210526
3,2003,55.0,41.73684210526316,29.0,31.571428571428573,42.05555555555556,47.833333333333336,40.5,38.38095238095238,33.13333333333333,44.31578947368421
4,2004,53.294117647058826,38.55555555555556,30.0,28.428571428571427,39.68421052631579,46.5,37.63636363636363,41.76190476190476,32.76923076923077,41.10526315789474
5,2005,49.26470588235294,44.25,34.5,28.0,43.63157894736842,49.5,41.0,41.857142857142854,36.15384615384615,43.388888888888886
6,2006,51.38235294117647,44.05263157894737,36.5,32.57142857142857,40.1,47.666666666666664,42.77777777777778,43.476190476190474,33.0,39.888888888888886
7,2007,53.3235294117647,43.3,34.5,36.625,41.35,52.5,41.77777777777778,41.76190476190476,36.15384615384615,41.5
8,2008,54.794117647058826,42.42857142857143,37.0,36.0,41.63157894736842,45.666666666666664,40.55555555555556,39.5,36.30769230769231,41.388888888888886
9,2009,51.294117647058826,40.56521739130435,25.333333333333332,33.875,40.63157894736842,44.666666666666664,45.0,39.31818181818182,34.92307692307692,38.27777777777778
10,2010,48.970588235294116,39.869565217391305,27.333333333333332,35.875,44.8421052631579,46.333333333333336,43.888888888888886,41.45454545454545,36.0,44.05555555555556
11,2011,53.73529411764706,43.125,38.0,40.875,44.3,39.5,48.111111111111114,39.59090909090909,36.166666666666664,40.588235294117645
12,2012,52.38235294117647,41.65217391304348,37.0,42.75,44.55,40.0,46.55555555555556,37.68181818181818,35.333333333333336,43.6875
13,2013,54.0,39.78260869565217,39.0,44.0,42.23809523809524,36.166666666666664,40.81818181818182,35.63636363636363,35.1,38.625
14,2014,54.14705882352941,39.34782608695652,35.666666666666664,43.125,42.333333333333336,34.0,41.6,37.31818181818182,35.1,38.4375
15,2015,52.970588235294116,39.714285714285715,29.5,42.5,41.857142857142854,35.333333333333336,34.6,35.5,35.7,38.4375
16,2016,50.85294117647059,37.5,26.5,42.625,41.19047619047619,35.8,36.90909090909091,38.09090909090909,35.0,37.1875
17,2017,52.94117647058823,38.86363636363637,30.4,44.875,41.095238095238095,35.8,38.833333333333336,38.13636363636363,35.1,36.375
18,2018,52.3235294117647,38.45454545454545,35.5,44.75,37.714285714285715,33.4,38.27272727272727,35.5,35.55555555555556,37.3125
19,2019,46.85294117647059,39.5,32.5,43.25,39.19047619047619,36.2,36.888888888888886,36.59090909090909,35.1,38.125
20,2020,51.1764705882353,38.130434782608695,34.666666666666664,42.5,36.904761904761905,32.2,41.25,37.04545454545455,33.44444444444444,35.3125
21,2021,50.970588235294116,39.04347826086956,36.666666666666664,39.25,39.095238095238095,33.6,45.375,37.22727272727273,34.44444444444444,36.6875
22,2022,47.1875,42.391304347826086,38.0,39.25,39.0,34.8,43.875,40.36363636363637,35.77777777777778,37.3125
