,California,Florida,New York,Ohio,Oklahoma,Pennsylvania,Texas
2001-01-01,492.0,335.0,153.0,42.0,20.0,150.0,92.0
2001-02-01,393.0,298.0,140.0,34.0,19.0,137.0,82.0
2001-03-01,404.0,310.0,154.0,40.0,17.0,152.0,81.0
2001-04-01,400.0,321.0,139.0,36.0,15.0,153.0,77.0
2001-05-01,413.0,324.0,157.0,33.0,20.0,160.0,87.0
2001-06-01,493.0,320.0,152.0,33.0,12.0,153.0,66.0
2001-07-01,483.0,321.0,151.0,33.0,27.0,170.0,89.0
2001-08-01,510.0,315.0,157.0,36.0,22.0,173.0,78.0
2001-09-01,466.0,276.0,145.0,37.0,17.0,156.0,78.0
2001-10-01,463.0,323.0,136.0,33.0,23.0,163.0,92.0
2001-11-01,431.0,306.0,144.0,36.0,21.0,159.0,83.0
2001-12-01,460.0,340.0,152.0,37.0,19.0,161.0,89.0
2002-01-01,521.0,344.0,134.0,12.0,15.0,143.0,79.0
2002-02-01,440.0,297.0,121.0,10.0,20.0,147.0,82.0
2002-03-01,505.0,335.0,136.0,13.0,20.0,162.0,98.0
2002-04-01,435.0,261.0,136.0,13.0,15.0,156.0,88.0
2002-05-01,441.0,339.0,129.0,12.0,11.0,209.0,107.0
2002-06-01,531.0,361.0,155.0,12.0,22.0,172.0,130.0
2002-07-01,552.0,350.0,162.0,17.0,25.0,182.0,109.0
2002-08-01,516.0,291.0,156.0,12.0,21.0,178.0,143.0
2002-09-01,522.0,303.0,151.0,14.0,21.0,167.0,129.0
2002-10-01,508.0,295.0,150.0,13.0,24.0,153.0,133.0
2002-11-01,495.0,270.0,145.0,10.0,21.0,166.0,112.0
2002-12-01,510.0,293.0,153.0,12.0,24.0,171.0,108.0
2003-01-01,528.0,394.0,141.0,38.0,24.0,159.0,98.0
2003-02-01,473.0,323.0,123.0,34.0,17.0,140.0,101.0
2003-03-01,519.0,382.0,131.0,35.0,26.0,161.0,105.0
2003-04-01,472.0,415.0,133.0,36.0,23.0,155.0,134.0
2003-05-01,399.0,369.0,146.0,37.0,24.0,168.0,115.0
2003-06-01,495.0,370.0,136.0,29.0,23.0,156.0,135.0
2003-07-01,564.0,402.0,155.0,36.0,19.0,173.0,119.0
2003-08-01,566.0,382.0,149.0,41.0,23.0,174.0,119.0
2003-09-01,520.0,358.0,137.0,39.0,21.0,187.0,128.0
2003-10-01,532.0,337.0,147.0,40.0,19.0,170.0,118.0
2003-11-01,510.0,344.0,147.0,36.0,25.0,171.0,103.0
2003-12-01,556.0,397.0,150.0,39.0,24.0,171.0,121.0
2004-01-01,521.0,399.0,142.0,37.0,24.0,154.0,97.0
2004-02-01,483.0,338.0,135.0,37.0,21.0,152.0,88.0
2004-03-01,499.0,355.0,167.0,36.0,18.0,165.0,101.0
2004-04-01,474.0,391.0,136.0,34.0,24.0,153.0,85.0
2004-05-01,464.0,401.0,139.0,32.0,23.0,167.0,93.0
2004-06-01,513.0,390.0,149.0,36.0,24.0,150.0,94.0
2004-07-01,533.0,400.0,162.0,37.0,24.0,176.0,95.0
2004-08-01,528.0,391.0,156.0,38.0,22.0,177.0,98.0
2004-09-01,508.0,314.0,148.0,36.0,16.0,164.0,92.0
2004-10-01,513.0,354.0,155.0,40.0,21.0,165.0,90.0
2004-11-01,462.0,367.0,152.0,36.0,26.0,170.0,85.0
2004-12-01,490.0,403.0,154.0,30.0,7.0,175.0,90.0
2005-01-01,498.0,397.0,150.0,28.0,22.0,164.0,87.0
2005-02-01,444.0,333.0,133.0,34.0,24.0,155.0,82.0
2005-03-01,494.0,359.0,157.0,39.0,21.0,174.0,104.0
2005-04-01,443.0,332.0,144.0,38.0,25.0,167.0,89.0
2005-05-01,474.0,371.0,160.0,29.0,23.0,178.0,93.0
2005-06-01,508.0,360.0,160.0,37.0,26.0,170.0,99.0
2005-07-01,527.0,394.0,167.0,40.0,22.0,184.0,90.0
2005-08-01,518.0,385.0,163.0,39.0,26.0,177.0,99.0
2005-09-01,478.0,362.0,163.0,35.0,26.0,168.0,89.0
2005-10-01,477.0,314.0,162.0,41.0,25.0,167.0,86.0
2005-11-01,473.0,349.0,163.0,38.0,25.0,167.0,87.0
2005-12-01,499.0,373.0,164.0,34.0,26.0,174.0,93.0
2006-01-01,508.0,388.0,156.0,38.0,27.0,179.0,93.0
2006-02-01,464.0,320.0,156.0,34.0,24.0,165.0,91.0
2006-03-01,478.0,373.0,151.0,35.0,27.0,175.0,101.0
2006-04-01,403.0,355.0,151.0,37.0,19.0,169.0,93.0
2006-05-01,417.0,357.0,161.0,34.0,29.0,185.0,92.0
2006-06-01,483.0,350.0,168.0,37.0,26.0,164.0,96.0
2006-07-01,514.0,379.0,171.0,38.0,24.0,184.0,102.0
2006-08-01,514.0,388.0,171.0,39.0,22.0,187.0,101.0
2006-09-01,487.0,372.0,165.0,35.0,26.0,173.0,104.0
2006-10-01,468.0,331.0,168.0,39.0,27.0,178.0,85.0
2006-11-01,484.0,343.0,155.0,40.0,25.0,177.0,91.0
2006-12-01,497.0,374.0,167.0,39.0,24.0,176.0,99.0
2007-01-01,752.0,380.0,155.0,40.0,22.0,183.0,109.0
2007-02-01,426.0,350.0,129.0,33.0,22.0,160.0,95.0
2007-03-01,445.0,361.0,163.0,35.0,6.0,182.0,111.0
2007-04-01,411.0,323.0,157.0,35.0,14.0,170.0,93.0
2007-05-01,386.0,319.0,166.0,33.0,22.0,178.0,88.0
2007-06-01,469.0,369.0,169.0,35.0,29.0,162.0,93.0
2007-07-01,493.0,362.0,175.0,38.0,29.0,183.0,103.0
