,California,Florida,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Texas,West Virginia,Wyoming
2001-01-01,200.0,6722.0,2453.0,2585.0,11493.0,3162.0,10889.0,11684.0,8534.0,3882.0
2001-02-01,184.0,5359.0,2158.0,2374.0,10019.0,2913.0,8442.0,10237.0,7215.0,3627.0
2001-03-01,102.0,5174.0,2272.0,2569.0,11134.0,2413.0,9896.0,11004.0,6851.0,3956.0
2001-04-01,206.0,5112.0,1809.0,2203.0,9553.0,2299.0,8394.0,9767.0,6185.0,3327.0
2001-05-01,200.0,5829.0,1690.0,2213.0,9658.0,2964.0,8432.0,11449.0,6592.0,3270.0
2001-06-01,216.0,6199.0,2001.0,2115.0,10249.0,3011.0,9014.0,12313.0,7089.0,3480.0
2001-07-01,224.0,6341.0,2235.0,2556.0,11086.0,3111.0,10270.0,13218.0,7838.0,3909.0
2001-08-01,226.0,6333.0,2361.0,2688.0,11796.0,3363.0,10704.0,12780.0,8006.0,3690.0
2001-09-01,183.0,5595.0,1531.0,2211.0,9740.0,2792.0,8998.0,11579.0,5764.0,2815.0
2001-10-01,137.0,5607.0,1708.0,2241.0,9498.0,2764.0,8819.0,9736.0,5208.0,3496.0
2001-11-01,143.0,4706.0,1410.0,2385.0,9411.0,2875.0,8508.0,9897.0,4716.0,3683.0
2001-12-01,211.0,5250.0,1804.0,2736.0,10577.0,2949.0,9535.0,11434.0,6218.0,3655.0
2002-01-01,203.0,5757.0,1912.0,2689.0,11094.0,3306.0,10162.0,12124.0,8164.0,3705.0
2002-02-01,184.0,4889.0,1556.0,2310.0,9727.0,2433.0,8715.0,10718.0,7779.0,3371.0
2002-03-01,213.0,4424.0,1724.0,2650.0,11113.0,2796.0,8600.0,10330.0,7630.0,3800.0
2002-04-01,158.0,4344.0,1612.0,2156.0,10193.0,2399.0,8266.0,10337.0,6722.0,2937.0
2002-05-01,166.0,5490.0,1591.0,2207.0,11059.0,2883.0,8250.0,12287.0,7317.0,3115.0
2002-06-01,205.0,5623.0,1901.0,2292.0,11827.0,3082.0,9148.0,12765.0,7724.0,2940.0
2002-07-01,204.0,6457.0,2000.0,2597.0,12577.0,3431.0,10899.0,13224.0,8695.0,3686.0
2002-08-01,208.0,6530.0,2264.0,2516.0,11937.0,3343.0,10811.0,13228.0,8167.0,3653.0
2002-09-01,202.0,5798.0,2179.0,2347.0,10686.0,2996.0,9342.0,12169.0,6835.0,3628.0
2002-10-01,217.0,5687.0,2181.0,2594.0,10549.0,2863.0,9419.0,11023.0,7732.0,3598.0
2002-11-01,158.0,4946.0,2101.0,2588.0,10503.0,3059.0,9397.0,10829.0,7746.0,3551.0
2002-12-01,208.0,5981.0,2218.0,2665.0,11687.0,3374.0,10899.0,12812.0,8440.0,3939.0
2003-01-01,211.0,6484.0,2251.0,2745.0,12272.0,3326.0,10922.0,13571.0,8550.0,3973.0
2003-02-01,195.0,5332.0,2114.0,2358.0,10811.0,2886.0,9207.0,10670.0,8137.0,3479.0
2003-03-01,182.0,4889.0,2012.0,2705.0,10740.0,2950.0,9224.0,10129.0,7401.0,3697.0
2003-04-01,124.0,4942.0,1747.0,2081.0,9622.0,2832.0,8858.0,11155.0,7109.0,2993.0
2003-05-01,168.0,6213.0,1539.0,2045.0,10672.0,2974.0,8539.0,12438.0,7589.0,3073.0
2003-06-01,198.0,6019.0,1835.0,2223.0,10604.0,3041.0,9161.0,12899.0,7858.0,3315.0
2003-07-01,216.0,6469.0,2212.0,2665.0,11744.0,3534.0,10519.0,13216.0,7844.0,3776.0
2003-08-01,210.0,6373.0,2072.0,2728.0,12447.0,3298.0,10847.0,13346.0,8406.0,3622.0
2003-09-01,214.0,5842.0,1930.0,2220.0,10972.0,2794.0,9636.0,12745.0,7169.0,3460.0
2003-10-01,206.0,4690.0,1893.0,2372.0,11733.0,2930.0,9248.0,12373.0,7347.0,3481.0
2003-11-01,201.0,4811.0,1889.0,2554.0,11301.0,2768.0,9230.0,11768.0,7149.0,3677.0
2003-12-01,202.0,5610.0,2086.0,2732.0,11851.0,3342.0,10618.0,12681.0,7909.0,3793.0
2004-01-01,210.0,5934.0,2076.0,2560.0,12181.0,3311.0,10535.0,13129.0,8804.0,3818.0
2004-02-01,211.0,4849.0,2156.0,2377.0,10199.0,2988.0,10036.0,11855.0,7353.0,3587.0
2004-03-01,207.0,4694.0,2001.0,2336.0,10187.0,2225.0,9945.0,10320.0,7483.0,3645.0
2004-04-01,79.0,4355.0,1762.0,1974.0,9240.0,1886.0,9009.0,10760.0,5763.0,3251.0
2004-05-01,164.0,5626.0,1747.0,2146.0,10669.0,2276.0,8694.0,13111.0,6352.0,2782.0
2004-06-01,192.0,6075.0,1994.0,2391.0,11197.0,2933.0,9162.0,12706.0,7406.0,3535.0
2004-07-01,218.0,5988.0,2136.0,2532.0,11419.0,3348.0,10546.0,13643.0,8360.0,3664.0
2004-08-01,208.0,6017.0,2039.0,2453.0,10849.0,3249.0,10660.0,13633.0,8007.0,3917.0
2004-09-01,186.0,5018.0,1924.0,2119.0,10275.0,3097.0,9253.0,13138.0,7001.0,3890.0
2004-10-01,174.0,5073.0,1698.0,2171.0,10542.0,2624.0,8397.0,12035.0,6345.0,3643.0
2004-11-01,150.0,5195.0,1569.0,2439.0,9727.0,2944.0,9934.0,11058.0,6944.0,3807.0
2004-12-01,239.0,6037.0,1750.0,2565.0,11672.0,2921.0,11006.0,13498.0,7766.0,3807.0
2005-01-01,159.0,5641.0,1689.0,2652.0,12539.0,3340.0,10305.0,13524.0,7859.0,3734.0
2005-02-01,164.0,4465.0,1625.0,2501.0,10620.0,2982.0,9869.0,11397.0,7187.0,3423.0
2005-03-01,183.0,4111.0,1793.0,2466.0,11819.0,2933.0,11226.0,11383.0,7508.0,3713.0
2005-04-01,156.0,3969.0,1533.0,2045.0,9274.0,2337.0,8842.0,10163.0,6318.0,3049.0
2005-05-01,172.0,5381.0,1110.0,2425.0,9529.0,3057.0,9041.0,12743.0,6727.0,2835.0
2005-06-01,189.0,5546.0,1704.0,2175.0,11712.0,3214.0,10344.0,13005.0,7724.0,3674.0
2005-07-01,200.0,5769.0,2046.0,2728.0,12684.0,3461.0,11494.0,13266.0,8391.0,3818.0
2005-08-01,180.0,5779.0,1987.0,2731.0,12479.0,3379.0,11587.0,13474.0,8963.0,4037.0
2005-09-01,178.0,5664.0,1843.0,2546.0,11279.0,3098.0,9873.0,12727.0,8025.0,3609.0
2005-10-01,176.0,5206.0,1664.0,2638.0,11351.0,2761.0,8883.0,11614.0,7502.0,3887.0
2005-11-01,180.0,5235.0,1702.0,2609.0,11524.0,2664.0,9085.0,12005.0,7435.0,3747.0
2005-12-01,197.0,5749.0,1902.0,2743.0,12014.0,3083.0,10385.0,13059.0,7779.0,3820.0
2006-01-01,194.0,5821.0,1855.0,2619.0,11426.0,2603.0,10446.0,12759.0,7940.0,3922.0
2006-02-01,177.0,5069.0,1795.0,2484.0,11115.0,2650.0,9607.0,10513.0,8100.0,3441.0
2006-03-01,151.0,4614.0,1883.0,2444.0,10770.0,3023.0,10740.0,10465.0,8271.0,3904.0
2006-04-01,160.0,4655.0,1567.0,2172.0,10151.0,2100.0,8939.0,10280.0,6481.0,2946.0
2006-05-01,141.0,5517.0,1602.0,2010.0,9518.0,2876.0,9589.0,12151.0,7590.0,2633.0
2006-06-01,199.0,5820.0,1783.0,2343.0,11225.0,3383.0,10486.0,12819.0,7624.0,3197.0
2006-07-01,198.0,6056.0,2151.0,2743.0,12540.0,3567.0,11632.0,13883.0,8675.0,3811.0
2006-08-01,213.0,6303.0,2030.0,2764.0,12528.0,3314.0,11498.0,13759.0,8990.0,3983.0
2006-09-01,206.0,5804.0,1621.0,2468.0,10344.0,2885.0,9089.0,13021.0,7030.0,3788.0
