,California,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Texas,West Virginia,Wyoming
2001-01-01,1590.0,2017.0,157.0,48.0,209.0,185.0,138.0,79.0,44.0
2001-02-01,1290.0,2013.0,129.0,31.0,372.0,181.0,110.0,114.0,38.0
2001-03-01,1765.0,2203.0,111.0,41.0,420.0,246.0,180.0,139.0,47.0
2001-04-01,2096.0,2043.0,101.0,40.0,213.0,307.0,124.0,100.0,68.0
2001-05-01,3045.0,2053.0,104.0,45.0,140.0,119.0,115.0,96.0,103.0
2001-06-01,3054.0,1921.0,116.0,56.0,367.0,134.0,97.0,102.0,127.0
2001-07-01,3002.0,1801.0,120.0,50.0,152.0,86.0,101.0,83.0,136.0
2001-08-01,2809.0,1698.0,122.0,39.0,96.0,58.0,92.0,75.0,126.0
2001-09-01,2028.0,1575.0,94.0,32.0,64.0,64.0,80.0,42.0,87.0
2001-10-01,1819.0,1740.0,84.0,33.0,121.0,63.0,49.0,31.0,34.0
2001-11-01,1357.0,1909.0,85.0,36.0,73.0,57.0,46.0,29.0,29.0
2001-12-01,1685.0,2110.0,109.0,60.0,116.0,149.0,68.0,62.0,41.0
2002-01-01,2516.0,2051.0,110.0,55.0,93.0,124.0,89.0,82.0,34.0
2002-02-01,1921.0,2047.0,99.0,54.0,204.0,195.0,77.0,78.0,30.0
2002-03-01,2452.0,2392.0,98.0,44.0,180.0,208.0,90.0,117.0,33.0
2002-04-01,2914.0,2221.0,84.0,27.0,273.0,242.0,122.0,140.0,39.0
2002-05-01,3463.0,2369.0,105.0,25.0,338.0,317.0,101.0,131.0,61.0
2002-06-01,3379.0,2258.0,172.0,55.0,357.0,240.0,90.0,57.0,99.0
2002-07-01,3282.0,2041.0,179.0,50.0,196.0,110.0,187.0,66.0,107.0
2002-08-01,3069.0,1849.0,180.0,30.0,107.0,69.0,118.0,29.0,78.0
2002-09-01,2400.0,1727.0,144.0,26.0,50.0,74.0,78.0,33.0,36.0
2002-10-01,1864.0,1798.0,117.0,39.0,91.0,164.0,45.0,69.0,20.0
2002-11-01,1771.0,2113.0,145.0,46.0,55.0,208.0,44.0,131.0,20.0
2002-12-01,2109.0,2182.0,160.0,38.0,44.0,259.0,83.0,132.0,26.0
2003-01-01,2600.0,1998.0,148.0,46.0,98.0,272.0,104.0,108.0,20.0
2003-02-01,2673.0,1712.0,162.0,35.0,80.0,198.0,75.0,100.0,18.0
2003-03-01,2579.0,2040.0,140.0,28.0,176.0,353.0,85.0,127.0,27.0
2003-04-01,2802.0,1861.0,148.0,47.0,202.0,309.0,65.0,123.0,43.0
2003-05-01,4508.0,2125.0,154.0,42.0,318.0,259.0,87.0,130.0,66.0
2003-06-01,4226.0,2065.0,173.0,35.0,232.0,312.0,96.0,118.0,99.0
2003-07-01,4040.0,1945.0,183.0,50.0,113.0,211.0,107.0,116.0,126.0
2003-08-01,3481.0,2078.0,177.0,55.0,111.0,258.0,115.0,115.0,88.0
2003-09-01,2830.0,1794.0,135.0,45.0,176.0,282.0,66.0,107.0,39.0
