,California,Florida,New York,Ohio,Oklahoma,Pennsylvania,Texas,West Virginia,Wyoming
2001-01-01,10192.0,2204.0,1900.0,34.0,969.0,103.0,13751.0,11.0,58.0
2001-02-01,8871.0,1867.0,1855.0,30.0,727.0,98.0,11508.0,13.0,50.0
2001-03-01,9474.0,2752.0,2097.0,51.0,961.0,146.0,13316.0,7.0,58.0
2001-04-01,9209.0,3239.0,2057.0,52.0,1082.0,132.0,14402.0,10.0,41.0
2001-05-01,9699.0,3180.0,3071.0,78.0,1225.0,165.0,16026.0,14.0,35.0
2001-06-01,9350.0,4096.0,3925.0,73.0,1653.0,251.0,18320.0,10.0,45.0
2001-07-01,10846.0,4546.0,4361.0,203.0,3094.0,292.0,22606.0,46.0,50.0
2001-08-01,11506.0,4711.0,5451.0,240.0,2714.0,408.0,22805.0,90.0,50.0
2001-09-01,9413.0,4857.0,4193.0,61.0,1790.0,397.0,16888.0,19.0,48.0
2001-10-01,8943.0,4574.0,3772.0,39.0,1545.0,313.0,15189.0,20.0,52.0
2001-11-01,7011.0,3505.0,2847.0,39.0,1082.0,370.0,12587.0,22.0,51.0
2001-12-01,7418.0,4039.0,3167.0,23.0,1103.0,362.0,12713.0,13.0,54.0
2002-01-01,6687.0,4041.0,2816.0,11.0,1251.0,221.0,13860.0,15.0,55.0
2002-02-01,5888.0,3414.0,2560.0,55.0,1484.0,453.0,12552.0,12.0,52.0
2002-03-01,7704.0,4159.0,2626.0,50.0,1588.0,452.0,14105.0,22.0,56.0
2002-04-01,5635.0,4845.0,2513.0,97.0,1839.0,259.0,15059.0,27.0,53.0
2002-05-01,5662.0,5034.0,2451.0,48.0,1540.0,292.0,15981.0,14.0,53.0
2002-06-01,7875.0,6266.0,3487.0,193.0,2086.0,825.0,19232.0,24.0,52.0
2002-07-01,10383.0,6685.0,4843.0,507.0,2829.0,1133.0,21662.0,26.0,60.0
2002-08-01,9814.0,7139.0,4997.0,432.0,3283.0,1300.0,22845.0,46.0,64.0
2002-09-01,9012.0,6682.0,3957.0,245.0,2298.0,703.0,18197.0,17.0,84.0
2002-10-01,7071.0,6250.0,3204.0,74.0,1307.0,499.0,15693.0,14.0,80.0
2002-11-01,6586.0,4696.0,2528.0,26.0,727.0,305.0,13924.0,13.0,48.0
2002-12-01,7307.0,3954.0,2470.0,29.0,817.0,271.0,13322.0,11.0,56.0
2003-01-01,6915.0,5009.0,2181.0,70.0,1301.0,252.0,14031.0,14.0,41.0
2003-02-01,6628.0,3871.0,1915.0,50.0,1235.0,219.0,13331.0,10.0,44.0
2003-03-01,6957.0,5201.0,2165.0,124.0,1087.0,357.0,13574.0,14.0,29.0
2003-04-01,5628.0,5219.0,2056.0,137.0,1438.0,355.0,13036.0,19.0,27.0
2003-05-01,5447.0,6419.0,1840.0,67.0,1589.0,320.0,17335.0,15.0,13.0
2003-06-01,6278.0,6211.0,2292.0,83.0,2190.0,422.0,17834.0,18.0,11.0
2003-07-01,10817.0,6623.0,3485.0,278.0,3489.0,851.0,21142.0,34.0,35.0
