,California,Florida,New York,Ohio,Pennsylvania,Texas
2001-01-01,2380.0,2943.0,3333.0,1482.0,6857.0,3545.0
2001-02-01,2230.0,2632.0,3367.0,1005.0,6038.0,3038.0
2001-03-01,2469.0,2874.0,3334.0,779.0,6077.0,2463.0
2001-04-01,2319.0,2367.0,3095.0,1434.0,5161.0,2669.0
2001-05-01,1668.0,2508.0,2676.0,801.0,6427.0,3420.0
2001-06-01,3101.0,2840.0,3558.0,1435.0,6259.0,3406.0
2001-07-01,3295.0,2835.0,3451.0,973.0,6581.0,3460.0
2001-08-01,3280.0,2790.0,3544.0,1567.0,6474.0,3175.0
2001-09-01,3164.0,2852.0,3546.0,1538.0,5428.0,3383.0
2001-10-01,2961.0,1857.0,3494.0,1555.0,5728.0,2616.0
2001-11-01,3068.0,2778.0,3520.0,1515.0,6012.0,3436.0
2001-12-01,3287.0,2307.0,3477.0,1379.0,6691.0,3553.0
2002-01-01,3247.0,2964.0,3768.0,1583.0,6841.0,3555.0
2002-02-01,2869.0,2661.0,3380.0,1057.0,5532.0,3211.0
2002-03-01,3227.0,2853.0,3101.0,935.0,5372.0,3500.0
2002-04-01,3111.0,2739.0,2881.0,897.0,5989.0,2596.0
2002-05-01,2182.0,2826.0,3669.0,928.0,6661.0,3321.0
2002-06-01,2217.0,2818.0,3542.0,478.0,6591.0,3206.0
2002-07-01,3168.0,2962.0,3675.0,906.0,6651.0,3432.0
2002-08-01,3196.0,2910.0,3636.0,918.0,6709.0,3500.0
2002-09-01,3150.0,2772.0,3499.0,592.0,5966.0,3324.0
2002-10-01,2949.0,2411.0,2997.0,742.0,6446.0,1800.0
2002-11-01,2163.0,2802.0,2368.0,902.0,6498.0,1604.0
2002-12-01,2873.0,2987.0,3101.0,928.0,6833.0,2567.0
2003-01-01,2611.0,2914.0,3726.0,927.0,6961.0,2697.0
2003-02-01,1754.0,2600.0,3229.0,762.0,6068.0,2398.0
2003-03-01,2508.0,2464.0,3228.0,785.0,5126.0,2663.0
2003-04-01,2805.0,2482.0,2495.0,79.0,5319.0,2549.0
2003-05-01,3310.0,2264.0,3685.0,-12.0,6707.0,2082.0
2003-06-01,3071.0,2464.0,3487.0,863.0,6615.0,2522.0
2003-07-01,3298.0,2931.0,3505.0,912.0,6706.0,2110.0
2003-08-01,3311.0,2909.0,2993.0,674.0,6724.0,3205.0
2003-09-01,3198.0,2730.0,3387.0,791.0,5295.0,3447.0
2003-10-01,3304.0,1874.0,3559.0,915.0,5959.0,2845.0
2003-11-01,3186.0,2610.0,3610.0,854.0,6114.0,3444.0
2003-12-01,3237.0,2737.0,3776.0,925.0,6767.0,3475.0
2004-01-01,3079.0,2996.0,3609.0,882.0,6952.0,3498.0
2004-02-01,2432.0,2785.0,3417.0,852.0,6187.0,3378.0
2004-03-01,2096.0,2685.0,3243.0,965.0,5580.0,3441.0
2004-04-01,2116.0,2338.0,2884.0,1518.0,6082.0,1791.0
2004-05-01,2459.0,2799.0,3709.0,1279.0,6832.0,3446.0
