,California,California
2001-01-01,7.0,7.0
2001-02-01,13.0,13.0
2001-03-01,31.0,31.0
2001-04-01,39.0,39.0
2001-05-01,81.0,81.0
2001-06-01,91.0,91.0
2001-07-01,92.0,92.0
2001-08-01,85.0,85.0
2001-09-01,65.0,65.0
2001-10-01,21.0,21.0
2001-11-01,14.0,14.0
2001-12-01,4.0,4.0
2002-01-01,11.0,11.0
2002-02-01,24.0,24.0
2002-03-01,44.0,44.0
2002-04-01,46.0,46.0
2002-05-01,58.0,58.0
2002-06-01,95.0,95.0
2002-07-01,86.0,86.0
2002-08-01,75.0,75.0
2002-09-01,53.0,53.0
2002-10-01,31.0,31.0
2002-11-01,28.0,28.0
2002-12-01,4.0,4.0
2003-01-01,13.0,13.0
2003-02-01,18.0,18.0
2003-03-01,50.0,50.0
2003-04-01,60.0,60.0
2003-05-01,68.0,68.0
2003-06-01,91.0,91.0
2003-07-01,62.0,62.0
2003-08-01,62.0,62.0
2003-09-01,56.0,56.0
2003-10-01,35.0,35.0
2003-11-01,14.0,14.0
2003-12-01,4.0,4.0
2004-01-01,12.0,12.0
2004-02-01,10.0,10.0
2004-03-01,53.0,53.0
2004-04-01,56.0,56.0
2004-05-01,81.0,81.0
2004-06-01,88.0,88.0
2004-07-01,82.0,82.0
2004-08-01,73.0,73.0
2004-09-01,60.0,60.0
2004-10-01,33.0,33.0
2004-11-01,15.0,15.0
2004-12-01,8.0,8.0
2005-01-01,8.0,8.0
2005-02-01,12.0,12.0
2005-03-01,37.0,37.0
2005-04-01,57.0,57.0
2005-05-01,80.0,80.0
2005-06-01,87.0,87.0
2005-07-01,71.0,71.0
2005-08-01,75.0,75.0
2005-09-01,60.0,60.0
2005-10-01,37.0,37.0
2005-11-01,12.0,12.0
2005-12-01,2.0,2.0
2006-01-01,12.0,12.0
2006-02-01,19.0,19.0
2006-03-01,32.0,32.0
2006-04-01,51.0,51.0
2006-05-01,69.0,69.0
2006-06-01,68.0,68.0
2006-07-01,60.0,60.0
2006-08-01,81.0,81.0
2006-09-01,53.0,53.0
2006-10-01,32.0,32.0
2006-11-01,15.0,15.0
2006-12-01,3.0,3.0
2007-01-01,13.0,13.0
2007-02-01,19.0,19.0
2007-03-01,48.0,48.0
2007-04-01,53.0,53.0
2007-05-01,83.0,83.0
2007-06-01,81.0,81.0
2007-07-01,76.0,76.0
2007-08-01,64.0,64.0
2007-09-01,57.0,57.0
2007-10-01,41.0,41.0
2007-11-01,20.0,20.0
2007-12-01,2.0,2.0
2008-01-01,12.0,12.0
