,California,Florida,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Texas,West Virginia,Wyoming
2001-01-01,16619.0,16937.0,12622.0,2751.0,13163.0,4491.0,18864.0,31001.0,8653.0,4021.0
2001-02-01,14380.0,12761.0,11460.0,2514.0,11162.0,4033.0,15053.0,25627.0,7381.0,3747.0
2001-03-01,15849.0,14115.0,12115.0,2690.0,12108.0,3808.0,16841.0,27580.0,7041.0,4093.0
2001-04-01,15841.0,14809.0,10734.0,2314.0,11177.0,3612.0,14728.0,27486.0,6328.0,3459.0
2001-05-01,16875.0,15818.0,11132.0,2328.0,10692.0,4346.0,15648.0,31583.0,6730.0,3437.0
2001-06-01,18072.0,18088.0,13038.0,2243.0,11905.0,5038.0,16284.0,34620.0,7238.0,3686.0
2001-07-01,19795.0,18436.0,13128.0,2688.0,12416.0,6375.0,17842.0,39940.0,8001.0,4128.0
2001-08-01,20307.0,19756.0,14720.0,2820.0,13746.0,6188.0,18428.0,39377.0,8212.0,3901.0
2001-09-01,16853.0,17107.0,11583.0,2313.0,11460.0,4662.0,15210.0,32472.0,5847.0,2985.0
2001-10-01,15929.0,15525.0,11420.0,2335.0,11217.0,4454.0,15303.0,28084.0,5282.0,3657.0
2001-11-01,13419.0,13472.0,10518.0,2481.0,11094.0,4051.0,15273.0,26453.0,4799.0,3847.0
2001-12-01,14658.0,14122.0,11447.0,2855.0,12122.0,4195.0,17102.0,28357.0,6324.0,3816.0
2002-01-01,14591.0,15378.0,11538.0,2808.0,12807.0,4672.0,17633.0,30514.0,8301.0,3847.0
2002-02-01,12655.0,13072.0,10199.0,2419.0,10936.0,4145.0,15202.0,27337.0,7907.0,3501.0
2002-03-01,15789.0,15137.0,10715.0,2762.0,12218.0,4566.0,15047.0,28875.0,7828.0,3934.0
2002-04-01,13996.0,15618.0,10114.0,2249.0,11277.0,4523.0,15165.0,28940.0,6928.0,3082.0
2002-05-01,13934.0,17743.0,11131.0,2317.0,12137.0,4768.0,15887.0,32513.0,7501.0,3273.0
2002-06-01,16344.0,18095.0,12339.0,2470.0,12617.0,5534.0,17343.0,36268.0,7845.0,3135.0
