,California,Florida,New York,Ohio,Oklahoma,Pennsylvania,Texas
2001-01-01,313.0,164.0,53.0,39.0,20.0,42.0,83.0
2001-02-01,225.0,139.0,47.0,32.0,19.0,44.0,74.0
2001-03-01,230.0,136.0,49.0,38.0,17.0,51.0,73.0
2001-04-01,240.0,166.0,38.0,35.0,15.0,49.0,71.0
2001-05-01,238.0,162.0,50.0,31.0,20.0,51.0,79.0
2001-06-01,316.0,156.0,48.0,30.0,12.0,43.0,59.0
2001-07-01,298.0,159.0,36.0,30.0,27.0,53.0,80.0
2001-08-01,319.0,156.0,44.0,33.0,22.0,57.0,71.0
2001-09-01,289.0,114.0,39.0,35.0,17.0,48.0,70.0
2001-10-01,286.0,172.0,25.0,31.0,23.0,57.0,84.0
2001-11-01,271.0,146.0,37.0,33.0,21.0,54.0,73.0
2001-12-01,298.0,160.0,37.0,35.0,19.0,47.0,80.0
2002-01-01,364.0,133.0,30.0,10.0,15.0,51.0,62.0
2002-02-01,296.0,117.0,27.0,9.0,20.0,56.0,74.0
2002-03-01,330.0,130.0,33.0,11.0,20.0,61.0,89.0
2002-04-01,286.0,97.0,28.0,11.0,15.0,52.0,79.0
2002-05-01,292.0,159.0,11.0,11.0,11.0,102.0,86.0
2002-06-01,360.0,181.0,41.0,11.0,22.0,60.0,93.0
2002-07-01,366.0,157.0,43.0,14.0,25.0,67.0,98.0
2002-08-01,322.0,101.0,42.0,9.0,21.0,69.0,100.0
2002-09-01,342.0,129.0,37.0,12.0,21.0,67.0,102.0
2002-10-01,334.0,129.0,43.0,11.0,24.0,65.0,95.0
2002-11-01,333.0,104.0,36.0,8.0,21.0,58.0,100.0
2002-12-01,332.0,114.0,42.0,9.0,24.0,59.0,96.0
2003-01-01,336.0,190.0,34.0,35.0,24.0,60.0,73.0
2003-02-01,297.0,151.0,31.0,32.0,17.0,54.0,75.0
2003-03-01,327.0,173.0,23.0,33.0,26.0,61.0,78.0
2003-04-01,305.0,197.0,34.0,34.0,23.0,53.0,91.0
2003-05-01,245.0,171.0,34.0,35.0,24.0,62.0,86.0
2003-06-01,331.0,186.0,26.0,26.0,23.0,54.0,97.0
2003-07-01,354.0,205.0,43.0,33.0,19.0,59.0,89.0
2003-08-01,353.0,205.0,40.0,37.0,23.0,63.0,85.0
2003-09-01,327.0,190.0,33.0,37.0,21.0,83.0,93.0
2003-10-01,341.0,172.0,39.0,38.0,19.0,69.0,98.0
2003-11-01,324.0,176.0,38.0,33.0,25.0,60.0,83.0
2003-12-01,340.0,195.0,37.0,36.0,24.0,57.0,89.0
2004-01-01,335.0,196.0,39.0,35.0,24.0,53.0,76.0
2004-02-01,299.0,160.0,38.0,35.0,21.0,53.0,67.0
2004-03-01,315.0,167.0,47.0,33.0,18.0,61.0,80.0
2004-04-01,294.0,184.0,36.0,31.0,24.0,57.0,64.0
2004-05-01,279.0,174.0,35.0,29.0,23.0,57.0,72.0
2004-06-01,331.0,191.0,43.0,33.0,24.0,50.0,73.0
2004-07-01,350.0,216.0,48.0,34.0,24.0,60.0,74.0
2004-08-01,346.0,201.0,46.0,35.0,22.0,59.0,76.0
2004-09-01,329.0,161.0,44.0,34.0,16.0,52.0,72.0
2004-10-01,332.0,186.0,42.0,37.0,21.0,59.0,69.0
2004-11-01,288.0,184.0,39.0,33.0,26.0,61.0,65.0
2004-12-01,329.0,197.0,40.0,28.0,7.0,58.0,69.0
2005-01-01,306.0,176.0,44.0,25.0,22.0,57.0,65.0
2005-02-01,275.0,151.0,41.0,32.0,24.0,55.0,63.0
2005-03-01,306.0,151.0,47.0,37.0,21.0,62.0,82.0
2005-04-01,263.0,157.0,36.0,36.0,25.0,58.0,69.0
2005-05-01,283.0,165.0,40.0,27.0,23.0,56.0,72.0
2005-06-01,319.0,169.0,44.0,35.0,26.0,52.0,79.0
2005-07-01,327.0,187.0,45.0,37.0,22.0,63.0,68.0
2005-08-01,324.0,190.0,45.0,37.0,26.0,61.0,78.0
2005-09-01,298.0,176.0,51.0,33.0,26.0,57.0,69.0
2005-10-01,314.0,167.0,44.0,38.0,25.0,61.0,68.0
2005-11-01,291.0,168.0,43.0,36.0,25.0,53.0,68.0
2005-12-01,305.0,165.0,46.0,31.0,26.0,54.0,71.0
2006-01-01,300.0,169.0,45.0,34.0,27.0,58.0,69.0
2006-02-01,275.0,133.0,46.0,31.0,24.0,53.0,70.0
2006-03-01,277.0,172.0,47.0,32.0,27.0,59.0,79.0
2006-04-01,245.0,162.0,39.0,34.0,19.0,54.0,76.0
2006-05-01,230.0,157.0,38.0,30.0,29.0,63.0,72.0
2006-06-01,299.0,172.0,46.0,35.0,26.0,42.0,76.0
