,West Virginia,New York,Texas,Florida,Ohio,Pennsylvania,Oklahoma,California,North Dakota,Wyoming
2000-01-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-02-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-03-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-04-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-05-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-06-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-07-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-08-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-09-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-10-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-11-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2000-12-01,1806962,18998044,20945963,16047118,11363844,12285504,3453943,33994571,641200,493958
2001-01-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-02-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-03-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-04-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-05-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-06-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-07-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-08-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-09-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-10-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-11-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2001-12-01,1798582,19088978,21332847,16353869,11396874,12299533,3464729,34485623,636267,492982
2002-01-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-02-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-03-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-04-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-05-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-06-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-07-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-08-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-09-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-10-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-11-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2002-12-01,1799411,19161873,21710788,16680309,11420981,12326302,3484754,34876194,633617,497069
2003-01-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-02-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-03-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-04-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-05-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-06-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-07-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-08-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-09-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-10-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-11-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2003-12-01,1802238,19231101,22057801,16981183,11445180,12357524,3498687,35251107,632809,499189
2004-01-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-02-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-03-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-04-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-05-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-06-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-07-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-08-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-09-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-10-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-11-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2004-12-01,1803302,19297933,22418319,17375259,11464593,12388368,3514449,35558419,636303,502988
2005-01-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-02-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-03-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-04-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-05-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-06-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-07-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-08-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-09-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-10-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-11-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2005-12-01,1803920,19330891,22801920,17783868,11475262,12418161,3532769,35795255,635365,506242
2006-01-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-02-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-03-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-04-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-05-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-06-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-07-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-08-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-09-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-10-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-11-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2006-12-01,1807237,19356564,23369024,18088505,11492495,12471142,3574334,35979208,636771,512841
2007-01-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-02-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-03-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-04-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-05-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-06-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-07-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-08-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-09-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-10-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-11-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2007-12-01,1811198,19422777,23837701,18277888,11520815,12522531,3612186,36226122,638202,523414
2008-01-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
2008-02-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
2008-03-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
2008-04-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
2008-05-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
2008-06-01,1814873,19467789,24304290,18423878,11528072,12566368,3644025,36580371,641421,532981
