,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2001-03-31,8337158.0,4667401.0,3165885.0,186440.0,4914880.0,447240.0,584696.0,7088945.0,7586921.0,11345998.0,14329461.0,5498332.0,5054660.0,10472572.0,3273797.0,49280.0,2733630.0,8452329.0,4638597.0,1964261.0,9530151.0,2803616.0,3256001.0,1977876.0,1189780.0,3997279.0,2704385.0,7115234.0,6475188.0,13983112.0,5026110.0,12695699.0,3776922.0,590367.0,6110162.0,22164839.0,3457316.0,4001465.0,1591350.0,9112138.0,5844331.0,6886300.0
2001-06-30,7941126.0,5285073.0,3598755.0,248350.0,4922308.0,401770.0,384308.0,7139229.0,7851551.0,10714351.0,13280336.0,4961733.0,4814785.0,9982894.0,3570508.0,43330.0,2619720.0,8076070.0,3923935.0,2026218.0,8680784.0,2041539.0,2862194.0,1846270.0,969364.0,3809195.0,2158794.0,6914520.0,5576389.0,12958471.0,4847449.0,11424219.0,3544853.0,540435.0,6278998.0,22952510.0,3533848.0,3577603.0,1045910.0,8175723.0,5757642.0,6046131.0
2001-09-30,9724666.0,5229673.0,4365120.0,256340.0,5115914.0,419530.0,362640.0,7908980.0,8970913.0,13140705.0,15717631.0,5797687.0,5450026.0,11272554.0,4358744.0,44830.0,3189390.0,9346162.0,4966348.0,2142675.0,10556008.0,3008504.0,3405939.0,2192907.0,1184169.0,4120029.0,2422484.0,8185104.0,6383533.0,14118895.0,5443013.0,13203341.0,4125699.0,559262.0,6663992.0,25962808.0,4047347.0,4118398.0,1610860.0,8893818.0,6584786.0,6436903.0
2001-12-31,7797616.0,4975428.0,3980228.0,205980.0,4811871.0,354790.0,148670.0,6559143.0,6481511.0,10531311.0,14069745.0,5047260.0,4830546.0,9577250.0,3651076.0,42770.0,2615400.0,8053772.0,4898373.0,2200881.0,9818318.0,2984486.0,3082037.0,2172642.0,962180.0,4028547.0,1972100.0,6434096.0,6359597.0,12773692.0,5183611.0,11974195.0,2934988.0,521541.0,5434079.0,21357650.0,3867209.0,3730152.0,1753290.0,6512558.0,5894172.0,6815085.0
2002-03-31,6783231.0,4501541.0,3136994.0,249359.0,4672570.0,416945.0,241484.0,6451904.0,7626999.0,11328970.0,13656189.0,5326058.0,5309690.0,9799154.0,3583140.0,57267.0,2441436.0,7707302.0,4909242.0,825954.0,8893543.0,2554128.0,2982877.0,2092890.0,911825.0,3515757.0,1964770.0,6761967.0,6498275.0,13311712.0,5053845.0,11903412.0,3310960.0,588533.0,6143970.0,21917084.0,3760759.0,3667594.0,1763681.0,9486650.0,5196342.0,6630195.0
2002-06-30,7930197.0,4791192.0,3348290.0,227041.0,4770276.0,372810.0,397893.0,6688644.0,8278832.0,11406821.0,13321439.0,4976605.0,5464791.0,9636784.0,3440994.0,59488.0,2788669.0,7925082.0,4093036.0,2179524.0,8992043.0,2135935.0,2906466.0,1731961.0,788656.0,4045951.0,1972381.0,6769721.0,5631848.0,13889411.0,4961015.0,11289355.0,3658839.0,519958.0,6454853.0,23929655.0,3759051.0,3454941.0,781819.0,8885447.0,5524996.0,5576608.0
2002-09-30,9949707.0,4908203.0,4014341.0,252922.0,5018563.0,325901.0,479329.0,8084930.0,9188267.0,14375834.0,16330321.0,5808611.0,6113558.0,10564428.0,3692479.0,63082.0,3302850.0,9298484.0,5030416.0,2421433.0,11131910.0,2573419.0,3280343.0,2040284.0,1193695.0,3772146.0,2645209.0,8647636.0,6437156.0,14905466.0,5846312.0,13636107.0,4061706.0,490288.0,6678916.0,26277274.0,4141374.0,4303981.0,1584255.0,9933051.0,6732393.0,6752802.0
2002-12-31,8881765.0,5127037.0,3665399.0,240969.0,4984631.0,392224.0,422315.0,6913449.0,7542694.0,12154453.0,14383572.0,5392293.0,5771598.0,8604529.0,3905956.0,40767.0,2711794.0,8435765.0,5055267.0,2442066.0,10685218.0,2482929.0,3040139.0,2020040.0,1175595.0,3863180.0,2572034.0,7298889.0,6680031.0,13810767.0,5503564.0,13030838.0,3309003.0,452104.0,5352038.0,23548673.0,3982324.0,3990039.0,1995774.0,9522671.0,5877404.0,6715504.0
2003-03-31,8197540.0,4446861.0,2927154.0,236832.0,4741469.0,528700.0,576149.0,7057127.0,7676538.0,12621711.0,14869246.0,5538573.0,5540486.0,10210543.0,3899843.0,39398.0,3286079.0,8036705.0,5071367.0,2034054.0,11153825.0,2804407.0,3328831.0,1971574.0,1211182.0,3979603.0,2563857.0,7844324.0,6752508.0,14239699.0,5395521.0,12906983.0,3619522.0,539784.0,5700925.0,23284033.0,3840908.0,4063648.0,1899115.0,9675997.0,5759574.0,6739974.0
2003-06-30,8571524.0,4584350.0,3125279.0,177018.0,4737591.0,524520.0,339615.0,7185122.0,8016254.0,10771460.0,14027177.0,4980605.0,5253731.0,8994501.0,3344072.0,37084.0,2352676.0,8225382.0,4934976.0,2423656.0,9778068.0,2240926.0,2639745.0,1574356.0,702400.0,4298547.0,2082949.0,6419580.0,5449687.0,13145274.0,5242046.0,11580404.0,3296798.0,506197.0,4704164.0,24767874.0,3909731.0,3116362.0,1632998.0,9143101.0,5494520.0,5765505.0
2003-09-30,10158829.0,5293837.0,4203147.0,240137.0,5123290.0,524497.0,578679.0,7907014.0,9626593.0,14117610.0,15637055.0,5782146.0,5908269.0,10065997.0,4124096.0,47352.0,3236684.0,9104871.0,5467132.0,2602345.0,12011135.0,2980822.0,3440923.0,1998114.0,1261872.0,4345574.0,2586224.0,8128521.0,6464289.0,15116279.0,5716797.0,13640098.0,4068056.0,612120.0,6691338.0,27057329.0,4382265.0,4137125.0,1854289.0,9639206.0,6770875.0,6634050.0
