,Wyoming,Pennsylvania,California,Ohio,Oklahoma,West Virginia,North Dakota,New York,Florida,Texas
2001-01-01,48.0,976.0,1893.0,922.0,255.0,148.0,48.0,1470.0,1366.0,1904.0
2001-02-01,49.0,884.0,1762.0,842.0,211.0,120.0,48.0,1343.0,1142.0,1671.0
2001-03-01,48.0,891.0,2111.0,848.0,217.0,124.0,44.0,1299.0,1080.0,1575.0
2001-04-01,45.0,824.0,1862.0,771.0,209.0,112.0,40.0,1178.0,1152.0,1593.0
2001-05-01,45.0,823.0,1950.0,841.0,239.0,106.0,41.0,1208.0,1184.0,1800.0
2001-06-01,45.0,938.0,2404.0,880.0,309.0,108.0,42.0,1398.0,1311.0,2253.0
2001-07-01,48.0,984.0,2900.0,1003.0,384.0,117.0,49.0,1664.0,1504.0,2515.0
2001-08-01,52.0,1059.0,3120.0,1039.0,398.0,122.0,50.0,1735.0,1531.0,2708.0
2001-09-01,48.0,916.0,2705.0,828.0,273.0,108.0,45.0,1564.0,1571.0,2428.0
2001-10-01,48.0,835.0,2752.0,809.0,192.0,111.0,43.0,1330.0,1271.0,1885.0
2001-11-01,49.0,822.0,2117.0,734.0,165.0,107.0,42.0,1191.0,1148.0,1543.0
2001-12-01,51.0,881.0,2210.0,793.0,179.0,119.0,45.0,1272.0,1142.0,1609.0
2002-01-01,53.0,953.0,2249.0,839.0,187.0,137.0,47.0,1305.0,1295.0,1781.0
2002-02-01,49.0,853.0,1986.0,765.0,177.0,122.0,45.0,1197.0,1143.0,1709.0
2002-03-01,51.0,884.0,2069.0,822.0,171.0,123.0,46.0,1188.0,1125.0,1549.0
2002-04-01,48.0,858.0,2047.0,774.0,174.0,112.0,43.0,1166.0,1159.0,1472.0
2002-05-01,48.0,845.0,2254.0,808.0,191.0,112.0,43.0,1205.0,1272.0,1629.0
2002-06-01,48.0,981.0,2490.0,939.0,278.0,111.0,45.0,1386.0,1253.0,1930.0
2002-07-01,51.0,1106.0,3075.0,1091.0,318.0,124.0,51.0,1745.0,1409.0,2245.0
2002-08-01,51.0,1084.0,2949.0,1040.0,324.0,129.0,48.0,1787.0,1495.0,2213.0
2002-09-01,49.0,978.0,2582.0,892.0,322.0,119.0,47.0,1578.0,1475.0,1992.0
2002-10-01,51.0,909.0,2656.0,822.0,237.0,113.0,46.0,1346.0,1379.0,1766.0
2002-11-01,51.0,852.0,2051.0,762.0,183.0,116.0,45.0,1205.0,1230.0,1475.0
2002-12-01,52.0,972.0,2271.0,828.0,203.0,136.0,50.0,1347.0,1158.0,1489.0
2003-01-01,53.0,1029.0,2302.0,903.0,219.0,147.0,52.0,1408.0,1308.0,1708.0
2003-02-01,53.0,934.0,2017.0,832.0,224.0,133.0,50.0,1380.0,1247.0,1668.0
2003-03-01,59.0,935.0,1955.0,839.0,239.0,123.0,50.0,1420.0,1174.0,1750.0
2003-04-01,51.0,847.0,2110.0,743.0,203.0,108.0,44.0,1357.0,1217.0,1650.0
2003-05-01,50.0,831.0,2219.0,804.0,245.0,106.0,42.0,1338.0,1333.0,2048.0
2003-06-01,51.0,896.0,2616.0,839.0,314.0,107.0,43.0,1459.0,1486.0,2470.0
2003-07-01,56.0,1057.0,3229.0,1019.0,401.0,123.0,50.0,1832.0,1589.0,2718.0
2003-08-01,55.0,1094.0,2988.0,999.0,411.0,127.0,53.0,1858.0,1642.0,2796.0
2003-09-01,51.0,924.0,2390.0,828.0,309.0,107.0,47.0,1699.0,1641.0,2299.0
2003-10-01,53.0,873.0,2357.0,810.0,226.0,116.0,46.0,1443.0,1465.0,1805.0
2003-11-01,54.0,851.0,2117.0,770.0,192.0,114.0,47.0,1312.0,1336.0,1597.0
2003-12-01,44.0,983.0,2349.0,859.0,218.0,139.0,48.0,1413.0,1336.0,1701.0
2004-01-01,60.0,1043.0,2237.0,949.0,227.0,148.0,56.0,1493.0,1428.0,1826.0
2004-02-01,54.0,936.0,2040.0,843.0,224.0,131.0,52.0,1466.0,1316.0,1731.0
2004-03-01,55.0,941.0,2172.0,873.0,219.0,125.0,50.0,1369.0,1280.0,1699.0
2004-04-01,55.0,862.0,2010.0,799.0,229.0,114.0,45.0,1301.0,1285.0,1743.0
2004-05-01,54.0,919.0,2055.0,830.0,251.0,120.0,44.0,1317.0,1380.0,1974.0
2004-06-01,55.0,967.0,2624.0,936.0,343.0,115.0,45.0,1543.0,1662.0,2522.0
2004-07-01,58.0,1059.0,2792.0,999.0,390.0,127.0,51.0,1829.0,1801.0,2769.0
2004-08-01,55.0,1060.0,2981.0,981.0,375.0,125.0,51.0,1822.0,1706.0,2831.0
2004-09-01,54.0,958.0,2802.0,880.0,336.0,112.0,50.0,1726.0,1625.0,2552.0
2004-10-01,58.0,878.0,2402.0,821.0,260.0,106.0,50.0,1473.0,1536.0,2075.0
2004-11-01,57.0,872.0,2171.0,810.0,214.0,117.0,50.0,1374.0,1384.0,1850.0
