"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","105","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/02/2001","49","CO","El Centro-9th Street","06-025-1003","AQS"
"01/03/2001","42","CO","El Centro-9th Street","06-025-1003","AQS"
"01/04/2001","62","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/05/2001","62","CO","Calexico-Ethel Street","06-025-0005","AQS"
"01/06/2001","148","CO","Calexico-Ethel Street","06-025-0005","AQS"
"01/07/2001","153","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/08/2001","66","CO","Calexico-Ethel Street","06-025-0005","AQS"
"01/09/2001","55","CO","Calexico-Ethel Street","06-025-0005","AQS"
"01/10/2001","138","CO","Calexico-Ethel Street","06-025-0005","AQS"
"01/11/2001","50","CO","El Centro-9th Street","06-025-1003","AQS"
"01/12/2001","50","CO","El Centro-9th Street","06-025-1003","AQS"
"01/13/2001","79","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/14/2001","63","CO","El Centro-9th Street","06-025-1003","AQS"
"01/15/2001","55","CO","El Centro-9th Street","06-025-1003","AQS"
"01/16/2001","48","CO","El Centro-9th Street","06-025-1003","AQS"
"01/17/2001","50","CO","El Centro-9th Street","06-025-1003","AQS"
"01/18/2001","60","CO","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS"
"01/19/2001","70","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/20/2001","59","CO","El Centro-9th Street","06-025-1003","AQS"
"01/21/2001","58","CO","El Centro-9th Street","06-025-1003","AQS"
"01/22/2001","55","CO","El Centro-9th Street","06-025-1003","AQS"
"01/23/2001","74","CO","El Centro-9th Street","06-025-1003","AQS"
"01/24/2001","77","CO","El Centro-9th Street","06-025-1003","AQS"
"01/25/2001","70","CO","El Centro-9th Street","06-025-1003","AQS"
"01/26/2001","71","CO","El Centro-9th Street","06-025-1003","AQS"
"01/27/2001","56","CO","El Centro-9th Street","06-025-1003","AQS"
"01/28/2001","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/29/2001","61","CO","El Centro-9th Street","06-025-1003","AQS"
"01/30/2001","58","CO","El Centro-9th Street","06-025-1003","AQS"
"01/31/2001","59","CO","El Centro-9th Street","06-025-1003","AQS"
"02/01/2001","62","CO","El Centro-9th Street","06-025-1003","AQS"
"02/02/2001","66","CO","El Centro-9th Street","06-025-1003","AQS"
"02/03/2001","65","CO","El Centro-9th Street","06-025-1003","AQS"
"02/04/2001","64","CO","El Centro-9th Street","06-025-1003","AQS"
"02/05/2001","76","CO","El Centro-9th Street","06-025-1003","AQS"
"02/06/2001","77","CO","El Centro-9th Street","06-025-1003","AQS"
"02/07/2001","75","CO","El Centro-9th Street","06-025-1003","AQS"
"02/08/2001","36","Ozone","Niland-English Road","06-025-4004","AQS"
"02/09/2001","61","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/10/2001","42","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"02/11/2001","40","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"02/12/2001","51","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/13/2001","39","Ozone","Niland-English Road","06-025-4004","AQS"
"02/14/2001","41","Ozone","Niland-English Road","06-025-4004","AQS"
"02/15/2001","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/16/2001","44","Ozone","Niland-English Road","06-025-4004","AQS"
"02/17/2001","41","Ozone","Niland-English Road","06-025-4004","AQS"
"02/18/2001","84","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"02/19/2001","39","Ozone","Niland-English Road","06-025-4004","AQS"
"02/20/2001","42","Ozone","Niland-English Road","06-025-4004","AQS"
"02/21/2001","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/22/2001","36","Ozone","Niland-English Road","06-025-4004","AQS"
"02/23/2001","37","Ozone","Niland-English Road","06-025-4004","AQS"
"02/24/2001","38","Ozone","Niland-English Road","06-025-4004","AQS"
"02/25/2001","31","Ozone","Niland-English Road","06-025-4004","AQS"
"02/26/2001","34","Ozone","Niland-English Road","06-025-4004","AQS"
"02/27/2001","31","Ozone","Niland-English Road","06-025-4004","AQS"
"02/28/2001","34","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"03/01/2001","39","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"03/02/2001","51","PM2.5","Brawley-401 Main St.","06-025-0003","AQS"
"03/03/2001","47","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"03/04/2001","47","Ozone","Niland-English Road","06-025-4004","AQS"
"03/05/2001","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
