"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","51","PM10","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS"
"01/02/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/03/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/04/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/05/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/06/2001","36","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/07/2001","55","PM10","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS"
"01/08/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/09/2001","34","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/10/2001","0","PM2.5","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/13/2001","17","PM10","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS"
"01/16/2001","3","PM2.5","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/17/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/18/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/19/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/20/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/21/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/22/2001","37","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/23/2001","43","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/24/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/25/2001","36","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/26/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/27/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/28/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/29/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/30/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"01/31/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/01/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/02/2001","43","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/03/2001","26","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/04/2001","28","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/05/2001","34","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/06/2001","45","PM2.5","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/07/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/08/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/09/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/10/2001","36","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/11/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/12/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/13/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/14/2001","36","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/15/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/16/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/17/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/18/2001","37","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/19/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/20/2001","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/21/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/22/2001","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/23/2001","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/24/2001","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/25/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/26/2001","37","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/27/2001","44","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"02/28/2001","44","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/01/2001","44","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/02/2001","43","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/03/2001","43","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/05/2001","36","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/06/2001","35","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/07/2001","33","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/08/2001","34","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/09/2001","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/10/2001","37","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/11/2001","45","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
"03/12/2001","45","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS"
