"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","122","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/02/2001","42","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/03/2001","46","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/04/2001","63","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/05/2001","40","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/06/2001","42","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/07/2001","134","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/08/2001","30","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/09/2001","27","Ozone","Rocklin","06-061-3001","AQS"
"01/10/2001","32","Ozone","Rocklin","06-061-3001","AQS"
"01/11/2001","32","Ozone","Rocklin","06-061-3001","AQS"
"01/12/2001","32","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/13/2001","42","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/14/2001","28","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/15/2001","33","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/16/2001","48","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/17/2001","37","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/18/2001","38","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/19/2001","134","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/20/2001","34","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/21/2001","31","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/22/2001","46","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/23/2001","35","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/24/2001","29","Ozone","Rocklin","06-061-3001","AQS"
"01/25/2001","30","Ozone","Rocklin","06-061-3001","AQS"
"01/26/2001","30","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/27/2001","31","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"01/28/2001","28","Ozone","Rocklin","06-061-3001","AQS"
"01/29/2001","33","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/30/2001","31","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/31/2001","57","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/01/2001","37","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/02/2001","34","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/03/2001","35","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/04/2001","42","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/05/2001","85","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/06/2001","46","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/07/2001","30","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/08/2001","26","Ozone","Rocklin","06-061-3001","AQS"
"02/09/2001","31","Ozone","Rocklin","06-061-3001","AQS"
"02/10/2001","33","Ozone","Rocklin","06-061-3001","AQS"
"02/11/2001","35","Ozone","Rocklin","06-061-3001","AQS"
"02/12/2001","35","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/13/2001","27","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/14/2001","39","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/15/2001","38","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/16/2001","37","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/17/2001","32","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/18/2001","59","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/19/2001","36","Ozone","Rocklin","06-061-3001","AQS"
"02/20/2001","32","Ozone","Rocklin","06-061-3001","AQS"
"02/21/2001","32","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/22/2001","31","Ozone","Rocklin","06-061-3001","AQS"
"02/23/2001","34","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/24/2001","31","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/25/2001","35","Ozone","Rocklin","06-061-3001","AQS"
"02/26/2001","22","Ozone","Rocklin","06-061-3001","AQS"
"02/27/2001","33","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/28/2001","36","Ozone","Rocklin","06-061-3001","AQS"
"03/01/2001","41","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/02/2001","55","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/03/2001","34","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/04/2001","41","Ozone","Rocklin","06-061-3001","AQS"
"03/05/2001","29","Ozone","Rocklin","06-061-3001","AQS"
"03/06/2001","23","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/07/2001","30","Ozone","Rocklin","06-061-3001","AQS"
"03/08/2001","57","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/09/2001","32","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/10/2001","35","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/11/2001","38","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/12/2001","37","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/13/2001","42","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/14/2001","46","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/15/2001","27","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/16/2001","46","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/17/2001","38","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/18/2001","39","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/19/2001","42","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/20/2001","67","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/21/2001","49","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/22/2001","38","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/23/2001","37","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/24/2001","32","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/25/2001","41","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/26/2001","47","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/27/2001","44","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/28/2001","43","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/29/2001","41","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/30/2001","43","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/31/2001","41","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/01/2001","38","Ozone","Rocklin","06-061-3001","AQS"
"04/02/2001","40","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/03/2001","44","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/04/2001","44","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/05/2001","44","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/06/2001","38","Ozone","Rocklin","06-061-3001","AQS"
"04/07/2001","33","Ozone","Rocklin","06-061-3001","AQS"
"04/08/2001","40","Ozone","Rocklin","06-061-3001","AQS"
"04/09/2001","41","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/10/2001","46","Ozone","Rocklin","06-061-3001","AQS"
"04/11/2001","35","Ozone","Rocklin","06-061-3001","AQS"
"04/12/2001","41","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/13/2001","44","Ozone","Rocklin","06-061-3001","AQS"
"04/14/2001","48","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"04/15/2001","64","Ozone","Rocklin","06-061-3001","AQS"
"04/16/2001","44","Ozone","Rocklin","06-061-3001","AQS"
