"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","153","PM2.5","Escondido","06-073-1002","AQS"
"01/02/2001","96","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"01/03/2001","98","NO2","San Diego-12th Ave","06-073-1007","AQS"
"01/04/2001","111","PM2.5","El Cajon","06-073-0003","AQS"
"01/05/2001","111","PM2.5","El Cajon","06-073-0003","AQS"
"01/06/2001","83","PM2.5","Escondido","06-073-1002","AQS"
"01/07/2001","114","PM2.5","Escondido","06-073-1002","AQS"
"01/08/2001","93","PM2.5","Escondido","06-073-1002","AQS"
"01/09/2001","88","PM2.5","Escondido","06-073-1002","AQS"
"01/10/2001","68","PM2.5","El Cajon","06-073-0003","AQS"
"01/11/2001","55","PM2.5","El Cajon","06-073-0003","AQS"
"01/12/2001","55","NO2","Camp Pendleton","06-073-1008","AQS"
"01/13/2001","75","PM2.5","El Cajon","06-073-0003","AQS"
"01/14/2001","107","PM2.5","Escondido","06-073-1002","AQS"
"01/15/2001","82","PM2.5","Escondido","06-073-1002","AQS"
"01/16/2001","56","PM2.5","Escondido","06-073-1002","AQS"
"01/17/2001","77","PM2.5","Escondido","06-073-1002","AQS"
"01/18/2001","91","PM2.5","El Cajon","06-073-0003","AQS"
"01/19/2001","96","PM2.5","Escondido","06-073-1002","AQS"
"01/20/2001","91","PM2.5","El Cajon","06-073-0003","AQS"
"01/21/2001","95","PM2.5","El Cajon","06-073-0003","AQS"
"01/22/2001","110","PM2.5","El Cajon","06-073-0003","AQS"
"01/23/2001","107","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"01/24/2001","97","PM2.5","El Cajon","06-073-0003","AQS"
"01/25/2001","75","PM2.5","El Cajon","06-073-0003","AQS"
"01/26/2001","67","PM2.5","Escondido","06-073-1002","AQS"
"01/27/2001","62","PM2.5","Escondido","06-073-1002","AQS"
"01/28/2001","84","PM2.5","El Cajon","06-073-0003","AQS"
"01/29/2001","64","PM2.5","El Cajon","06-073-0003","AQS"
"01/30/2001","73","PM2.5","Escondido","06-073-1002","AQS"
"01/31/2001","72","PM2.5","El Cajon","06-073-0003","AQS"
"02/01/2001","49","PM2.5","Escondido","06-073-1002","AQS"
"02/02/2001","82","NO2","Oceanside-Mission Ave","06-073-0005","AQS"
"02/03/2001","96","NO2","Oceanside-Mission Ave","06-073-0005","AQS"
"02/04/2001","77","NO2","Camp Pendleton","06-073-1008","AQS"
"02/05/2001","74","NO2","Oceanside-Mission Ave","06-073-0005","AQS"
"02/06/2001","63","PM2.5","Escondido","06-073-1002","AQS"
"02/07/2001","57","NO2","Camp Pendleton","06-073-1008","AQS"
"02/08/2001","52","PM2.5","Escondido","06-073-1002","AQS"
"02/09/2001","60","PM2.5","Escondido","06-073-1002","AQS"
"02/10/2001","74","PM2.5","El Cajon","06-073-0003","AQS"
"02/11/2001","56","PM2.5","El Cajon","06-073-0003","AQS"
"02/12/2001","42","PM10","Otay Mesa","06-073-2007","AQS"
"02/13/2001","52","NO2","Oceanside-Mission Ave","06-073-0005","AQS"
"02/14/2001","46","PM2.5","El Cajon","06-073-0003","AQS"
"02/15/2001","70","PM2.5","El Cajon","06-073-0003","AQS"
"02/16/2001","70","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"02/17/2001","69","PM2.5","El Cajon","06-073-0003","AQS"
"02/18/2001","85","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"02/19/2001","52","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"02/20/2001","44","Ozone","Alpine","06-073-1006","AQS"
"02/21/2001","80","PM2.5","Escondido","06-073-1002","AQS"
"02/22/2001","53","PM2.5","El Cajon","06-073-0003","AQS"
"02/23/2001","54","CO","San Diego-12th Ave","06-073-1007","AQS"
"02/24/2001","55","CO","San Diego-12th Ave","06-073-1007","AQS"
"02/25/2001","37","Ozone","Alpine","06-073-1006","AQS"
"02/26/2001","37","Ozone","Alpine","06-073-1006","AQS"
"02/27/2001","40","Ozone","Chula Vista","06-073-0001","AQS"
"02/28/2001","54","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"03/01/2001","54","PM2.5","El Cajon","06-073-0003","AQS"
"03/02/2001","59","PM2.5","Escondido","06-073-1002","AQS"
"03/03/2001","62","PM2.5","El Cajon","06-073-0003","AQS"
"03/04/2001","58","PM2.5","Escondido","06-073-1002","AQS"
"03/05/2001","68","PM2.5","El Cajon","06-073-0003","AQS"
"03/06/2001","50","NO2","Oceanside-Mission Ave","06-073-0005","AQS"
"03/07/2001","54","PM2.5","Escondido","06-073-1002","AQS"
"03/08/2001","71","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"03/09/2001","46","PM2.5","El Cajon","06-073-0003","AQS"
"03/10/2001","61","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"03/11/2001","61","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"03/12/2001","49","PM2.5","El Cajon","06-073-0003","AQS"
"03/13/2001","79","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
"03/14/2001","64","PM2.5","Chula Vista","06-073-0001","AQS"
"03/15/2001","80","PM2.5","El Cajon","06-073-0003","AQS"
"03/16/2001","97","Ozone","Camp Pendleton","06-073-1008","AQS"
"03/17/2001","97","Ozone","Kearny Mesa","06-073-0006","AQS"
"03/18/2001","143","Ozone","Kearny Mesa","06-073-0006","AQS"
"03/19/2001","95","NO2","Kearny Mesa","06-073-0006","AQS"
"03/20/2001","97","NO2","San Diego-12th Ave","06-073-1007","AQS"
"03/21/2001","83","PM2.5","Escondido","06-073-1002","AQS"
"03/22/2001","59","PM2.5","Escondido","06-073-1002","AQS"
"03/23/2001","57","PM2.5","San Diego-12th Ave","06-073-1007","AQS"
