"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","61","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/07/2001","16","PM10","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/13/2001","34","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/16/2001","55","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/19/2001","41","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/22/2001","59","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/25/2001","48","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/28/2001","52","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/31/2001","36","PM10","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/03/2001","23","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/06/2001","45","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/09/2001","19","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/12/2001","7","PM10","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/15/2001","36","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/18/2001","38","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/21/2001","128","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/24/2001","51","PM10","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/27/2001","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/05/2001","70","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/08/2001","72","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/11/2001","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/14/2001","18","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/17/2001","38","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/20/2001","64","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/23/2001","73","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/26/2001","4","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/29/2001","51","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/01/2001","42","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/04/2001","85","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/07/2001","57","PM10","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/13/2001","44","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/16/2001","29","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
