"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2001","91","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","15","39","47","91","40"
"01/02/2001","42","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","16","39",".",".","42"
"01/03/2001","89","NO2","Echo Summit","06-017-0012","AQS","15","42",".",".","89"
"01/04/2001","51","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","22","43",".","12","51"
"01/05/2001","40","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","20","39",".",".","40"
"01/06/2001","42","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","16","38",".",".","42"
"01/07/2001","45","Ozone","Echo Summit","06-017-0012","AQS","16","45","25","42","38"
"01/08/2001","44","Ozone","Echo Summit","06-017-0012","AQS","9","44",".",".","23"
"01/09/2001","41","Ozone","Echo Summit","06-017-0012","AQS","8","41",".",".","22"
"01/10/2001","42","Ozone","Echo Summit","06-017-0012","AQS","10","42",".","4","25"
"01/11/2001","42","Ozone","Echo Summit","06-017-0012","AQS","8","42",".",".","25"
"01/12/2001","37","Ozone","Echo Summit","06-017-0012","AQS","10","37",".",".","33"
"01/13/2001","38","Ozone","South Lake Tahoe-Sandy Way","06-017-0011","AQS","9","38","12","25","13"
"01/14/2001","39","Ozone","Echo Summit","06-017-0012","AQS","7","39",".",".","17"
"01/15/2001","35","Ozone","Echo Summit","06-017-0012","AQS","6","35",".",".","10"
"01/16/2001","37","Ozone","Echo Summit","06-017-0012","AQS","7","37",".","4","11"
"01/17/2001","41","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","15","35",".",".","41"
"01/18/2001","42","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","15","40",".",".","42"
"01/19/2001","55","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","14","27","31","55","42"
"01/20/2001","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","13","36",".",".","35"
"01/21/2001","42","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","15","36",".",".","42"
"01/22/2001","40","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","14","38",".","13","40"
"01/23/2001","48","Ozone","Echo Summit","06-017-0012","AQS","13","48",".",".","25"
"01/24/2001","46","Ozone","Echo Summit","06-017-0012","AQS","7","46",".",".","23"
"01/25/2001","44","Ozone","Echo Summit","06-017-0012","AQS","6","44","6","13","9"
