"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","33",".","."
"01/02/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"01/03/2005","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","28",".","."
"01/04/2005","17","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","17","13","."
"01/05/2005","23","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","23",".","."
"01/06/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","30",".","."
"01/07/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","."
"01/08/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","36",".","."
"01/09/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"01/10/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","37","6","."
"01/11/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","36",".","."
"01/12/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29",".","."
"01/13/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","27",".","8"
"01/14/2005","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","26",".","."
"01/15/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","8","30",".","."
"01/16/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","27","26","5"
"01/17/2005","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","28",".","."
"01/18/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","31",".","."
"01/19/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","35",".","11"
"01/20/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","35",".","."
"01/21/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","8","32",".","."
"01/22/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","31","14","3"
"01/23/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","37",".","."
"01/24/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","34",".","."
"01/25/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","6"
"01/26/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"01/27/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","36",".","."
"01/28/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35","7","3"
"01/29/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","32",".","."
"01/30/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33",".","."
"01/31/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","40",".","4"
"02/01/2005","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","41",".","."
"02/02/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","37",".","."
"02/03/2005","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","38","35","4"
"02/04/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","37",".","."
"02/05/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","37",".","."
"02/06/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","33",".","15"
"02/07/2005","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","28",".","."
"02/08/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","."
"02/09/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","35","33","10"
"02/10/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","36",".","."
"02/11/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","35",".","."
"02/12/2005","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","41",".","4"
"02/13/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","32",".","."
"02/14/2005","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","26",".","."
"02/15/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27","13","5"
"02/16/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","27",".","."
"02/17/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","."
"02/18/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33",".","8"
"02/19/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","."
"02/20/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"02/21/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","32","6","1"
"02/22/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","30",".","."
"02/23/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","31",".","."
"02/24/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29",".","8"
"02/25/2005","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","22",".","."
"02/26/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","35",".","."
"02/27/2005","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","42","18","7"
"02/28/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"03/01/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/02/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","1"
"03/03/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","34",".","."
"03/04/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29",".","."
"03/05/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33","23","5"
"03/06/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","39",".","."
"03/07/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/08/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","46",".","8"
"03/09/2005","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","49",".","."
"03/10/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"03/11/2005","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64","35","12"
"03/12/2005","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64",".","."
"03/13/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/14/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","7"
"03/15/2005","2","CO","Placerville-Gold Nugget Way","06-017-0010","AQS","2",".",".","."
"03/16/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","46",".","."
"03/17/2005","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","54","19","19"
"03/18/2005","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","45",".","."
"03/19/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35",".","."
"03/20/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","36",".","."
