"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/02/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/03/2013","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/04/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","7"
"01/05/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"01/06/2013","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","."
"01/07/2013","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","2"
"01/08/2013","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","."
"01/09/2013","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"01/10/2013","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","1"
"01/11/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/12/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"01/13/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","3"
"01/14/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/15/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"01/16/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","3"
"01/17/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"01/18/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/19/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","5"
"01/20/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/21/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/22/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7"
"01/23/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"01/24/2013","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","."
"01/25/2013","20","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","20","1"
"01/26/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/27/2013","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","."
"01/28/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","2"
"01/29/2013","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"01/30/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/31/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","4"
"02/01/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"02/02/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"02/03/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","5"
"02/04/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"02/05/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"02/06/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","3"
"02/07/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"02/08/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"02/09/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","3"
"02/10/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"02/11/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"02/12/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","3"
"02/13/2013","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","."
"02/14/2013","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","."
"02/15/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","6"
"02/16/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"02/17/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"02/18/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","9"
"02/19/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"02/20/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"02/21/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","2"
"02/22/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"02/23/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"02/24/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","2"
"02/25/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","."
"02/26/2013","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","."
"02/27/2013","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","7"
"02/28/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"03/01/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"03/02/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","7"
"03/03/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"03/04/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"03/05/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","9"
"03/06/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"03/07/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"03/08/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","17"
"03/09/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"03/10/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"03/11/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","9"
"03/12/2013","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","."
"03/13/2013","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","."
"03/14/2013","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","12"
"03/15/2013","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","."
"03/16/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","."
