"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2019","34","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","33","34","."
"01/02/2019","40","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","31","40","."
"01/03/2019","34","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","31","34","19"
"01/04/2019","36","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","35","36","."
"01/05/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","24","."
"01/06/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","20","3"
"01/07/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","20","."
"01/08/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","20","."
"01/09/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","19","3"
"01/10/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","28","."
"01/11/2019","40","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","34","40","."
"01/12/2019","40","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","34","40","18"
"01/13/2019","38","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","34","38","."
"01/14/2019","38","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","33","38","."
"01/15/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","23","12"
"01/16/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","19","."
"01/17/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","19","."
"01/18/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","22","6"
"01/19/2019","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","19","."
"01/20/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","18","."
"01/21/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","19","2"
"01/22/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","23","."
"01/23/2019","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","19","."
"01/24/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","13","11"
"01/25/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","20","."
"01/26/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","30","."
"01/27/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","26","18"
"01/28/2019","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","25","."
"01/29/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","24","."
"01/30/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","19","18"
"01/31/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","19","."
"02/01/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","11","."
"02/02/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","4","5"
"02/03/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","2","."
"02/04/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","4","."
"02/05/2019","9","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","9","4"
"02/06/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","6","."
"02/07/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","9","."
"02/08/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7","8"
"02/09/2019","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","10","."
"02/10/2019","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","6","."
"02/11/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","7","10"
"02/12/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","14","."
"02/13/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","3","."
"02/14/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","1","2"
"02/15/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","5","."
"02/16/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","6","."
"02/17/2019","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","3","3"
"02/18/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","5","."
"02/19/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","9","."
"02/20/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","5"
"02/21/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","6","."
"02/22/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","15","."
"02/23/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","9","10"
"02/24/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","9","."
"02/25/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","12","."
"02/26/2019","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","5","5"
"02/27/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","2","."
"02/28/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","1","."
"03/01/2019","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","6","3"
"03/02/2019","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","5","."
"03/03/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","2","."
"03/04/2019","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","14","4"
"03/05/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","15","."
"03/06/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","1","."
"03/07/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","1","1"
"03/08/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7","."
"03/09/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","12","."
"03/10/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","11","4"
"03/11/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","9","."
"03/12/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","12","."
"03/13/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","19","6"
"03/14/2019","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","18","."
"03/15/2019","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","23","."
"03/16/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","19","12"
"03/17/2019","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","18","."
"03/18/2019","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","21","."
"03/19/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","23","13"
"03/20/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","6","."
"03/21/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","12","."
"03/22/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","12","4"
"03/23/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","6","."
"03/24/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","19","."
"03/25/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","31","37"
"03/26/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","9","."
"03/27/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","2","."
"03/28/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","6","8"
"03/29/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","17","."
"03/30/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","18","."
"03/31/2019","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","16","9"
