"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2004","161","PM2.5","El Centro-9th Street","06-025-1003","AQS","57","36",".","161","57"
"01/02/2004","37","Ozone","Niland-English Road","06-025-4004","AQS","34","37",".",".","36"
"01/03/2004","44","Ozone","Niland-English Road","06-025-4004","AQS","41","44",".",".","25"
"01/04/2004","41","Ozone","Niland-English Road","06-025-4004","AQS","18","41","23","38","32"
"01/05/2004","39","Ozone","Niland-English Road","06-025-4004","AQS","20","39",".",".","35"
"01/06/2004","36","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","30","31",".",".","36"
"01/07/2004","95","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","64","30",".","95","48"
"01/08/2004","39","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","36","29",".",".","39"
"01/09/2004","44","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","31","34",".",".","44"
"01/10/2004","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","24","35","49","53","35"
"01/11/2004","38","Ozone","El Centro-9th Street","06-025-1003","AQS","19","38",".",".","36"
"01/12/2004","89","CO","Calexico-Ethel Street","06-025-0005","AQS","89","31",".",".","74"
"01/13/2004","74","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","20","34",".","74","41"
"01/14/2004","44","CO","Calexico-Ethel Street","06-025-0005","AQS","44","42",".",".","43"
"01/15/2004","60","CO","Calexico-Ethel Street","06-025-0005","AQS","60","37",".",".","42"
"01/16/2004","72","PM10","Calexico-Grant Street","06-025-0004","AQS","41","38","72","63","57"
"01/17/2004","53","CO","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","53","44",".",".","51"
"01/18/2004","57","CO","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","57","42",".",".","46"
"01/19/2004","79","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","36","34",".","79","49"
"01/20/2004","49","Ozone","Niland-English Road","06-025-4004","AQS","48","49",".",".","42"
"01/21/2004","42","Ozone","Niland-English Road","06-025-4004","AQS","9","42",".",".","33"
"01/22/2004","41","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","39","19","41","29"
"01/23/2004","47","NO2","Calexico-Ethel Street","06-025-0005","AQS","26","44",".",".","47"
"01/24/2004","44","Ozone","El Centro-9th Street","06-025-1003","AQS","30","44","35",".","42"
"01/25/2004","42","Ozone","Niland-English Road","06-025-4004","AQS","11","42",".","41","40"
"01/26/2004","47","NO2","Calexico-Ethel Street","06-025-0005","AQS","26","41",".",".","47"
"01/27/2004","54","NO2","Calexico-Ethel Street","06-025-0005","AQS","36","40",".",".","54"
"01/28/2004","102","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","40","43","69","102","45"
"01/29/2004","70","NO2","Calexico-Ethel Street","06-025-0005","AQS","65","42",".",".","70"
"01/30/2004","115","CO","Calexico-Ethel Street","06-025-0005","AQS","115","44",".",".","102"
"01/31/2004","45","Ozone","Niland-English Road","06-025-4004","AQS","14","45",".","28","22"
"02/01/2004","46","NO2","Calexico-Ethel Street","06-025-0005","AQS","22","45",".",".","46"
"02/02/2004","41","Ozone","Niland-English Road","06-025-4004","AQS","28","41",".",".","40"
"02/03/2004","57","PM10","Calexico-Ethel Street","06-025-0005","AQS","6","44","57","25","11"
"02/04/2004","39","Ozone","El Centro-9th Street","06-025-1003","AQS","8","39",".",".","39"
"02/05/2004","46","Ozone","Niland-English Road","06-025-4004","AQS","8","46",".",".","24"
"02/06/2004","44","Ozone","Niland-English Road","06-025-4004","AQS","15","44",".","43","43"
"02/07/2004","43","Ozone","Niland-English Road","06-025-4004","AQS","17","43",".",".","40"
"02/08/2004","45","Ozone","Niland-English Road","06-025-4004","AQS","16","45",".",".","33"
"02/09/2004","42","Ozone","Niland-English Road","06-025-4004","AQS","9","42","33","29","40"
"02/10/2004","50","Ozone","Niland-English Road","06-025-4004","AQS","9","50",".",".","40"
"02/11/2004","52","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","28","46",".",".","52"
"02/12/2004","61","Ozone","Niland-English Road","06-025-4004","AQS","38","61",".","34","38"
"02/13/2004","61","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","43","49",".",".","61"
"02/14/2004","69","CO","Calexico-Ethel Street","06-025-0005","AQS","69","46",".",".","66"
"02/15/2004","95","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","35","44","64","95","52"
"02/16/2004","93","Ozone","Niland-English Road","06-025-4004","AQS","43","93",".",".","77"
"02/17/2004","61","Ozone","El Centro-9th Street","06-025-1003","AQS","18","61",".",".","54"
"02/18/2004","75","PM2.5","Brawley-220 Main Street","06-025-0007","AQS","19","44",".","75","44"
"02/19/2004","57","NO2","Calexico-Ethel Street","06-025-0005","AQS","14","48",".",".","57"
"02/20/2004","44","Ozone","Niland-English Road","06-025-4004","AQS","16","44",".",".","42"
"02/21/2004","48","Ozone","Niland-English Road","06-025-4004","AQS","6","48",".","16","23"
"02/22/2004","38","Ozone","Niland-English Road","06-025-4004","AQS","8","38",".",".","24"
"02/23/2004","50","NO2","Calexico-Ethel Street","06-025-0005","AQS","22","49",".",".","50"
"02/24/2004","59","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","17","50","44","59","56"
"02/25/2004","57","NO2","Calexico-Ethel Street","06-025-0005","AQS","24","45",".",".","57"
"02/26/2004","44","Ozone","Niland-English Road","06-025-4004","AQS","9","44",".",".","28"
"02/27/2004","47","Ozone","Niland-English Road","06-025-4004","AQS","5","47","30","23","10"
"02/28/2004","45","Ozone","Niland-English Road","06-025-4004","AQS","3","45",".",".","11"
"02/29/2004","58","Ozone","Niland-English Road","06-025-4004","AQS","11","58",".",".","56"
"03/01/2004","49","Ozone","Niland-English Road","06-025-4004","AQS","17","49",".","45","44"
