"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","165","PM2.5","Escondido","06-073-1002","AQS","43","38","44","165","43"
"01/02/2012","78","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","20","38",".","78","42"
"01/03/2012","71","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","17","33",".","71","63"
"01/04/2012","86","PM10","Otay Mesa","06-073-2007","AQS","20","37","86","69","70"
"01/05/2012","61","NO2","Otay Mesa","06-073-2007","AQS","24","32",".","55","61"
"01/06/2012","62","PM2.5","El Cajon","06-073-0003","AQS","19","35",".","62","48"
"01/07/2012","82","PM2.5","El Cajon","06-073-0003","AQS","14","37","44","82","33"
"01/08/2012","67","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","15","37",".","67","40"
"01/09/2012","59","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","19","31",".","59","57"
"01/10/2012","69","PM10","Otay Mesa","06-073-2007","AQS","18","31","69","59","49"
"01/11/2012","67","PM2.5","El Cajon","06-073-0003","AQS","19","21",".","67","49"
"01/12/2012","85","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","18","37",".","85","61"
"01/13/2012","59","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","20","39",".","59","49"
"01/14/2012","72","PM2.5","El Cajon","06-073-0003","AQS","20","39",".","72","42"
"01/15/2012","72","PM2.5","El Cajon","06-073-0003","AQS","19","38",".","72","31"
"01/16/2012","63","PM10","Pala Airpad","06-073-1201","AQS","6","38","63","52","35"
"01/17/2012","57","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","8","39",".","57","41"
"01/18/2012","71","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","14","37",".","71","51"
"01/19/2012","86","PM2.5","El Cajon","06-073-0003","AQS","18","37",".","86","56"
"01/20/2012","79","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","15","37",".","79","44"
"01/21/2012","64","PM2.5","El Cajon","06-073-0003","AQS","11","31",".","64","30"
"01/22/2012","68","PM2.5","El Cajon","06-073-0003","AQS","15","38","60","68","32"
"01/23/2012","57","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","14","37",".","57","36"
"01/24/2012","61","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","11","35",".","61","36"
"01/25/2012","60","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","15","34",".","60","60"
"01/26/2012","53","PM2.5","El Cajon","06-073-0003","AQS","17","35",".","53","53"
"01/27/2012","65","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","14","37",".","65","44"
"01/28/2012","53","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","14","41","43","53","42"
"01/29/2012","50","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","16","41","18","50","41"
"01/30/2012","52","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","19","43",".","52","37"
"01/31/2012","66","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","9","44","23","66","34"
"02/01/2012","106","PM2.5","La Posta Reservation","06-073-1011","AQS","10","43","29","106","33"
"02/02/2012","82","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","13","42",".","82","42"
"02/03/2012","67","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","16","40","55","67","42"
"02/04/2012","52","PM2.5","El Cajon","06-073-0003","AQS","15","43",".","52","41"
"02/05/2012","55","PM2.5","El Cajon","06-073-0003","AQS","14","45",".","55","41"
"02/06/2012","58","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","16","40","26","58","50"
