Date,ca1,ca2,ca3,ca4,ca5,ca6,ca7
01/01/2001,158,91.0,105,51.0,122,153,153.0
01/02/2001,66,42.0,49,38.0,42,96,140.0
01/03/2001,108,89.0,42,39.0,46,98,140.0
01/04/2001,111,51.0,62,38.0,63,111,107.0
01/05/2001,108,40.0,62,38.0,40,111,124.0
01/06/2001,158,42.0,148,36.0,42,83,147.0
01/07/2001,176,45.0,153,55.0,134,114,150.0
01/08/2001,71,44.0,66,42.0,30,93,39.0
01/09/2001,33,41.0,55,34.0,27,88,43.0
01/10/2001,44,42.0,138,0.0,32,68,33.0
01/11/2001,35,42.0,50,,32,55,34.0
01/12/2001,32,37.0,50,,32,55,34.0
01/13/2001,43,38.0,79,17.0,42,75,25.0
01/14/2001,62,39.0,63,,28,107,34.0
01/15/2001,35,35.0,55,,33,82,39.0
01/16/2001,43,37.0,48,3.0,48,56,39.0
01/17/2001,51,41.0,50,39.0,37,77,40.0
01/18/2001,91,42.0,60,39.0,38,91,79.0
01/19/2001,136,55.0,70,40.0,134,96,111.0
01/20/2001,161,36.0,59,41.0,34,91,158.0
01/21/2001,35,42.0,58,40.0,31,95,162.0
01/22/2001,120,40.0,55,37.0,46,110,111.0
01/23/2001,50,48.0,74,43.0,35,107,42.0
01/24/2001,41,46.0,77,39.0,29,97,45.0
01/25/2001,39,44.0,70,36.0,30,75,42.0
01/26/2001,57,44.0,71,38.0,30,67,37.0
01/27/2001,36,44.0,56,38.0,31,62,38.0
01/28/2001,37,45.0,64,40.0,28,84,52.0
01/29/2001,33,44.0,61,38.0,33,64,36.0
01/30/2001,38,43.0,58,39.0,31,73,39.0
01/31/2001,48,55.0,59,40.0,57,72,47.0
02/01/2001,84,46.0,62,42.0,37,49,88.0
02/02/2001,113,45.0,66,43.0,34,82,117.0
02/03/2001,63,34.0,65,26.0,35,96,76.0
02/04/2001,63,43.0,64,28.0,42,77,42.0
02/05/2001,49,44.0,76,34.0,85,74,34.0
02/06/2001,32,49.0,77,45.0,46,63,38.0
02/07/2001,38,41.0,75,41.0,30,57,42.0
02/08/2001,43,46.0,36,41.0,26,52,54.0
02/09/2001,34,46.0,61,39.0,31,60,31.0
02/10/2001,35,46.0,42,36.0,33,74,34.0
02/11/2001,36,45.0,40,41.0,35,56,34.0
02/12/2001,45,47.0,51,42.0,35,42,35.0
02/13/2001,53,44.0,39,38.0,27,52,45.0
02/14/2001,57,48.0,41,36.0,39,46,42.0
02/15/2001,58,49.0,64,39.0,38,70,49.0
02/16/2001,52,58.0,44,42.0,37,70,37.0
02/17/2001,71,49.0,41,41.0,32,69,36.0
