Date,ny1,ny2,ny3,ny4,ny5
01/01/2001,42.0,37.0,38.0,38.0,30.0
01/02/2001,54.0,39.0,45.0,30.0,18.0
01/03/2001,70.0,31.0,58.0,44.0,15.0
01/04/2001,86.0,35.0,82.0,87.0,72.0
01/05/2001,86.0,23.0,74.0,48.0,3.0
01/06/2001,68.0,26.0,36.0,28.0,15.0
01/07/2001,92.0,63.0,78.0,69.0,80.0
01/08/2001,118.0,24.0,47.0,32.0,15.0
01/09/2001,59.0,31.0,34.0,28.0,21.0
01/10/2001,53.0,54.0,50.0,50.0,30.0
01/11/2001,82.0,24.0,46.0,37.0,18.0
01/12/2001,46.0,19.0,50.0,41.0,18.0
01/13/2001,119.0,77.0,67.0,69.0,73.0
01/14/2001,143.0,13.0,72.0,44.0,4.0
01/15/2001,101.0,17.0,47.0,36.0,5.0
01/16/2001,78.0,47.0,71.0,33.0,59.0
01/17/2001,62.0,31.0,32.0,62.0,14.0
01/18/2001,56.0,17.0,42.0,31.0,10.0
01/19/2001,60.0,66.0,46.0,41.0,34.0
01/20/2001,66.0,26.0,26.0,29.0,24.0
01/21/2001,45.0,29.0,46.0,37.0,33.0
01/22/2001,84.0,65.0,87.0,117.0,75.0
01/23/2001,150.0,22.0,78.0,49.0,5.0
01/24/2001,109.0,25.0,56.0,55.0,13.0
01/25/2001,119.0,31.0,85.0,92.0,70.0
01/26/2001,68.0,29.0,48.0,50.0,18.0
01/27/2001,72.0,31.0,39.0,34.0,
01/28/2001,56.0,45.0,46.0,43.0,38.0
01/29/2001,83.0,24.0,61.0,39.0,
01/30/2001,74.0,31.0,44.0,44.0,
01/31/2001,103.0,45.0,85.0,61.0,64.0
02/01/2001,62.0,20.0,37.0,33.0,14.0
02/02/2001,69.0,35.0,41.0,34.0,28.0
02/03/2001,40.0,36.0,27.0,28.0,29.0
02/04/2001,58.0,29.0,42.0,37.0,22.0
02/05/2001,64.0,19.0,39.0,29.0,25.0
02/06/2001,69.0,63.0,71.0,62.0,60.0
02/07/2001,55.0,33.0,42.0,36.0,29.0
02/08/2001,71.0,36.0,42.0,38.0,9.0
02/09/2001,91.0,45.0,72.0,62.0,59.0
02/10/2001,48.0,32.0,42.0,36.0,36.0
02/11/2001,29.0,33.0,29.0,39.0,38.0
02/12/2001,85.0,29.0,46.0,44.0,34.0
02/13/2001,74.0,23.0,82.0,42.0,22.0
02/14/2001,118.0,25.0,66.0,37.0,3.0
02/15/2001,51.0,31.0,51.0,44.0,37.0
02/16/2001,40.0,31.0,41.0,34.0,
02/17/2001,51.0,34.0,37.0,36.0,32.0
02/18/2001,51.0,32.0,35.0,37.0,31.0
02/19/2001,57.0,29.0,41.0,36.0,18.0
02/20/2001,77.0,38.0,70.0,48.0,
02/21/2001,53.0,38.0,52.0,53.0,40.0
02/22/2001,42.0,31.0,40.0,42.0,21.0
02/23/2001,68.0,39.0,42.0,41.0,31.0
02/24/2001,60.0,37.0,54.0,42.0,48.0
02/25/2001,53.0,34.0,42.0,40.0,28.0
02/26/2001,48.0,37.0,32.0,34.0,28.0
02/27/2001,60.0,39.0,55.0,52.0,37.0
02/28/2001,38.0,37.0,31.0,37.0,33.0
03/01/2001,88.0,29.0,43.0,37.0,29.0
03/02/2001,97.0,56.0,86.0,79.0,76.0
03/03/2001,87.0,37.0,39.0,31.0,22.0
03/04/2001,55.0,34.0,32.0,38.0,34.0
03/05/2001,51.0,30.0,31.0,37.0,35.0
03/06/2001,43.0,33.0,31.0,37.0,36.0
03/07/2001,52.0,37.0,46.0,44.0,40.0
03/08/2001,73.0,52.0,59.0,52.0,56.0
03/09/2001,62.0,39.0,44.0,42.0,38.0
03/10/2001,50.0,41.0,46.0,44.0,42.0
03/11/2001,67.0,40.0,57.0,46.0,55.0
03/12/2001,50.0,49.0,33.0,38.0,37.0
03/13/2001,72.0,36.0,48.0,40.0,36.0
03/14/2001,59.0,40.0,44.0,44.0,38.0
03/15/2001,63.0,34.0,49.0,42.0,19.0
03/16/2001,67.0,36.0,51.0,44.0,36.0
03/17/2001,68.0,35.0,57.0,45.0,39.0
03/18/2001,35.0,44.0,33.0,40.0,37.0
03/19/2001,47.0,42.0,36.0,43.0,41.0
03/20/2001,48.0,44.0,42.0,39.0,22.0
03/21/2001,35.0,33.0,34.0,43.0,36.0
03/22/2001,44.0,50.0,32.0,38.0,36.0
03/23/2001,40.0,44.0,44.0,50.0,47.0
03/24/2001,51.0,41.0,41.0,41.0,40.0
03/25/2001,37.0,38.0,34.0,40.0,39.0
03/26/2001,64.0,31.0,49.0,35.0,39.0
03/27/2001,38.0,35.0,33.0,31.0,30.0
03/28/2001,56.0,41.0,42.0,37.0,35.0
03/29/2001,85.0,61.0,81.0,40.0,62.0
03/30/2001,42.0,32.0,35.0,41.0,34.0
03/31/2001,73.0,41.0,44.0,44.0,35.0
04/01/2001,69.0,53.0,62.0,62.0,52.0
04/02/2001,56.0,38.0,54.0,35.0,38.0
04/03/2001,52.0,38.0,58.0,48.0,45.0
04/04/2001,61.0,44.0,56.0,46.0,47.0
04/05/2001,61.0,47.0,73.0,47.0,51.0
04/06/2001,91.0,37.0,67.0,51.0,9.0
04/07/2001,69.0,62.0,62.0,54.0,55.0
04/08/2001,44.0,122.0,42.0,38.0,38.0
04/09/2001,106.0,35.0,87.0,43.0,36.0
04/10/2001,59.0,34.0,46.0,41.0,37.0
04/11/2001,49.0,32.0,38.0,40.0,36.0
04/12/2001,57.0,67.0,41.0,37.0,32.0
04/13/2001,62.0,43.0,54.0,50.0,49.0
04/14/2001,46.0,48.0,48.0,51.0,50.0
04/15/2001,51.0,36.0,48.0,64.0,64.0
04/16/2001,82.0,39.0,53.0,45.0,46.0
04/17/2001,48.0,40.0,48.0,37.0,39.0
04/18/2001,38.0,41.0,43.0,47.0,46.0
04/19/2001,61.0,44.0,58.0,45.0,46.0
04/20/2001,76.0,45.0,66.0,49.0,26.0
04/21/2001,83.0,43.0,51.0,49.0,33.0
04/22/2001,91.0,58.0,74.0,69.0,68.0
04/23/2001,66.0,108.0,61.0,50.0,54.0
04/24/2001,64.0,47.0,45.0,45.0,71.0
04/25/2001,49.0,45.0,52.0,39.0,43.0
04/26/2001,54.0,54.0,49.0,58.0,49.0
04/27/2001,54.0,67.0,68.0,51.0,58.0
04/28/2001,53.0,46.0,44.0,50.0,50.0
04/29/2001,57.0,58.0,47.0,49.0,51.0
04/30/2001,56.0,90.0,73.0,74.0,67.0
05/01/2001,98.0,154.0,89.0,97.0,90.0
05/02/2001,91.0,129.0,91.0,150.0,122.0
05/03/2001,105.0,161.0,97.0,147.0,126.0
05/04/2001,129.0,161.0,111.0,154.0,151.0
05/05/2001,59.0,48.0,47.0,45.0,49.0
05/06/2001,36.0,54.0,35.0,42.0,42.0
05/07/2001,42.0,67.0,44.0,58.0,37.0
05/08/2001,50.0,41.0,43.0,41.0,35.0
05/09/2001,71.0,90.0,58.0,39.0,71.0
05/10/2001,100.0,119.0,101.0,140.0,122.0
05/11/2001,100.0,126.0,100.0,143.0,140.0
05/12/2001,74.0,44.0,90.0,115.0,97.0
05/13/2001,39.0,39.0,42.0,44.0,45.0
05/14/2001,37.0,48.0,36.0,41.0,44.0
05/15/2001,40.0,71.0,42.0,44.0,48.0
05/16/2001,89.0,77.0,45.0,35.0,34.0
05/17/2001,46.0,48.0,40.0,42.0,31.0
05/18/2001,41.0,40.0,39.0,37.0,23.0
05/19/2001,86.0,48.0,78.0,69.0,62.0
05/20/2001,34.0,47.0,34.0,40.0,43.0
05/21/2001,38.0,43.0,29.0,36.0,33.0
05/22/2001,44.0,34.0,41.0,64.0,58.0
05/23/2001,35.0,47.0,35.0,44.0,42.0
05/24/2001,30.0,67.0,31.0,31.0,31.0
05/25/2001,66.0,56.0,43.0,28.0,33.0
05/26/2001,40.0,47.0,35.0,24.0,25.0
05/27/2001,46.0,45.0,38.0,41.0,34.0
05/28/2001,61.0,74.0,52.0,54.0,54.0
05/29/2001,62.0,39.0,58.0,41.0,37.0
05/30/2001,33.0,40.0,35.0,42.0,39.0
05/31/2001,40.0,36.0,38.0,38.0,37.0
06/01/2001,81.0,40.0,48.0,74.0,45.0
06/02/2001,56.0,45.0,44.0,58.0,39.0
06/03/2001,56.0,34.0,45.0,51.0,44.0
06/04/2001,49.0,36.0,47.0,43.0,32.0
06/05/2001,42.0,32.0,43.0,45.0,40.0
06/06/2001,68.0,38.0,43.0,46.0,39.0
06/07/2001,64.0,77.0,58.0,45.0,44.0
06/08/2001,55.0,50.0,53.0,77.0,50.0
06/09/2001,68.0,49.0,64.0,54.0,50.0
06/10/2001,70.0,126.0,69.0,67.0,61.0
06/11/2001,91.0,90.0,83.0,54.0,32.0
06/12/2001,89.0,100.0,72.0,100.0,93.0
06/13/2001,132.0,133.0,80.0,74.0,87.0
06/14/2001,109.0,166.0,77.0,77.0,90.0
06/15/2001,77.0,93.0,62.0,54.0,71.0
06/16/2001,57.0,61.0,55.0,19.0,24.0
06/17/2001,40.0,71.0,47.0,27.0,32.0
06/18/2001,77.0,87.0,84.0,115.0,64.0
06/19/2001,122.0,190.0,115.0,119.0,147.0
06/20/2001,101.0,44.0,87.0,84.0,164.0
06/21/2001,84.0,54.0,81.0,75.0,71.0
06/22/2001,52.0,46.0,39.0,30.0,32.0
06/23/2001,46.0,31.0,40.0,38.0,28.0
06/24/2001,41.0,54.0,40.0,48.0,39.0
06/25/2001,80.0,58.0,80.0,80.0,51.0
06/26/2001,84.0,119.0,105.0,136.0,58.0
06/27/2001,90.0,151.0,119.0,133.0,101.0
06/28/2001,100.0,156.0,140.0,166.0,126.0
06/29/2001,51.0,195.0,61.0,44.0,50.0
06/30/2001,151.0,129.0,179.0,182.0,166.0
07/01/2001,67.0,49.0,112.0,115.0,87.0
07/02/2001,34.0,31.0,39.0,35.0,30.0
07/03/2001,46.0,47.0,50.0,71.0,61.0
07/04/2001,37.0,48.0,120.0,43.0,47.0
07/05/2001,44.0,38.0,62.0,71.0,77.0
07/06/2001,36.0,35.0,42.0,38.0,31.0
07/07/2001,67.0,112.0,49.0,71.0,74.0
07/08/2001,26.0,49.0,54.0,50.0,31.0
07/09/2001,105.0,143.0,136.0,147.0,87.0
07/10/2001,108.0,74.0,119.0,169.0,119.0
07/11/2001,34.0,31.0,56.0,61.0,41.0
07/12/2001,33.0,29.0,30.0,37.0,27.0
07/13/2001,32.0,35.0,33.0,40.0,26.0
07/14/2001,28.0,36.0,34.0,41.0,31.0
07/15/2001,36.0,97.0,39.0,39.0,37.0
07/16/2001,63.0,44.0,55.0,49.0,49.0
07/17/2001,67.0,58.0,66.0,54.0,58.0
07/18/2001,74.0,67.0,72.0,71.0,68.0
07/19/2001,46.0,71.0,52.0,41.0,46.0
07/20/2001,66.0,147.0,42.0,35.0,48.0
07/21/2001,62.0,140.0,140.0,119.0,119.0
07/24/2001,67.0,87.0,62.0,49.0,108.0
07/26/2001,6.0,38.0,45.0,22.0,26.0
07/27/2001,24.0,40.0,52.0,40.0,39.0
07/30/2001,52.0,37.0,42.0,38.0,71.0
07/31/2001,45.0,77.0,53.0,54.0,64.0
08/01/2001,101.0,126.0,115.0,133.0,115.0
08/02/2001,73.0,133.0,108.0,140.0,156.0
08/05/2001,155.0,51.0,81.0,67.0,115.0
08/08/2001,77.0,151.0,108.0,179.0,73.0
08/09/2001,147.0,112.0,185.0,209.0,174.0
08/10/2001,48.0,47.0,123.0,174.0,90.0
08/11/2001,62.0,38.0,64.0,53.0,56.0
08/12/2001,24.0,45.0,60.0,49.0,28.0
