Date,oh1,oh2,oh3,oh4
01/01/2001,68.0,41,100.0,68
01/02/2001,77.0,62,72.0,68
01/03/2001,81.0,72,77.0,92
01/04/2001,73.0,67,77.0,89
01/05/2001,59.0,68,68.0,62
01/06/2001,65.0,42,63.0,62
01/07/2001,63.0,102,71.0,65
01/08/2001,43.0,55,54.0,48
01/09/2001,53.0,53,61.0,54
01/10/2001,76.0,70,67.0,76
01/11/2001,79.0,76,72.0,94
01/12/2001,85.0,107,110.0,90
01/13/2001,124.0,116,154.0,128
01/14/2001,84.0,130,108.0,79
01/15/2001,61.0,74,60.0,54
01/16/2001,57.0,74,66.0,60
01/17/2001,62.0,68,69.0,73
01/18/2001,80.0,110,81.0,96
01/19/2001,96.0,93,123.0,94
01/20/2001,28.0,68,31.0,41
01/21/2001,24.0,57,66.0,61
01/22/2001,85.0,92,87.0,89
01/23/2001,17.0,102,92.0,93
01/24/2001,28.0,111,89.0,80
01/25/2001,32.0,45,49.0,51
01/26/2001,63.0,83,58.0,76
01/27/2001,59.0,54,57.0,61
01/28/2001,81.0,82,84.0,84
01/29/2001,51.0,107,60.0,68
01/30/2001,49.0,60,52.0,53
01/31/2001,64.0,67,56.0,58
02/01/2001,57.0,70,63.0,59
02/02/2001,49.0,59,95.0,50
02/03/2001,55.0,69,63.0,61
02/04/2001,54.0,64,53.0,55
02/05/2001,77.0,85,77.0,73
02/06/2001,70.0,90,77.0,76
02/07/2001,66.0,64,72.0,78
02/08/2001,72.0,88,67.0,98
02/09/2001,65.0,73,63.0,77
02/10/2001,33.0,41,27.0,30
02/11/2001,43.0,21,42.0,48
02/12/2001,62.0,73,66.0,67
02/13/2001,71.0,104,74.0,85
02/14/2001,57.0,75,52.0,60
02/15/2001,61.0,67,60.0,61
02/16/2001,66.0,77,72.0,63
02/17/2001,43.0,37,44.0,55
02/18/2001,51.0,45,52.0,43
02/19/2001,40.0,59,46.0,47
02/20/2001,34.0,66,66.0,57
02/21/2001,45.0,46,61.0,65
02/22/2001,59.0,58,71.0,64
02/23/2001,60.0,78,70.0,64
02/24/2001,57.0,97,72.0,58
02/25/2001,38.0,60,35.0,31
02/26/2001,58.0,53,62.0,60
02/27/2001,65.0,76,72.0,86
02/28/2001,35.0,55,31.0,42
03/01/2001,54.0,66,52.0,44
03/02/2001,54.0,81,58.0,56
03/03/2001,68.0,79,82.0,65
03/04/2001,104.0,80,109.0,106
03/05/2001,34.0,80,53.0,40
03/06/2001,32.0,35,26.0,28
03/07/2001,43.0,88,53.0,50
03/08/2001,78.0,85,77.0,78
03/09/2001,59.0,78,57.0,59
03/10/2001,64.0,66,62.0,64
03/11/2001,63.0,60,65.0,63
