Date,ok1,ok2,ok3
01/01/2001,30.0,44.0,61.0
01/02/2001,35.0,31.0,
01/03/2001,38.0,25.0,
01/04/2001,37.0,28.0,
01/05/2001,42.0,28.0,
01/06/2001,42.0,22.0,
01/07/2001,29.0,26.0,16.0
01/08/2001,37.0,21.0,
01/09/2001,27.0,22.0,
01/10/2001,22.0,23.0,
01/11/2001,24.0,17.0,
01/12/2001,20.0,15.0,
01/13/2001,18.0,32.0,34.0
01/14/2001,33.0,27.0,
01/15/2001,30.0,31.0,
01/16/2001,19.0,32.0,55.0
01/17/2001,22.0,21.0,
01/18/2001,28.0,27.0,
01/19/2001,27.0,27.0,41.0
01/20/2001,29.0,28.0,
01/21/2001,31.0,27.0,
01/22/2001,30.0,52.0,59.0
01/23/2001,25.0,16.0,
01/24/2001,31.0,29.0,
01/25/2001,34.0,64.0,48.0
01/26/2001,28.0,36.0,
01/27/2001,27.0,25.0,
01/28/2001,19.0,16.0,52.0
01/29/2001,25.0,31.0,
01/30/2001,33.0,38.0,
01/31/2001,38.0,33.0,36.0
02/01/2001,30.0,30.0,
02/02/2001,30.0,31.0,
02/03/2001,36.0,31.0,23.0
02/04/2001,38.0,37.0,
02/05/2001,36.0,37.0,
02/06/2001,36.0,44.0,45.0
02/07/2001,34.0,31.0,
02/08/2001,22.0,21.0,
02/09/2001,31.0,32.0,19.0
02/10/2001,31.0,32.0,
02/11/2001,31.0,26.0,
02/12/2001,15.0,64.0,7.0
02/13/2001,14.0,8.0,
02/14/2001,18.0,22.0,
02/15/2001,20.0,61.0,36.0
02/16/2001,31.0,34.0,
02/17/2001,31.0,31.0,
02/18/2001,31.0,58.0,38.0
02/19/2001,40.0,43.0,
02/20/2001,26.0,23.0,
02/21/2001,28.0,82.0,128.0
02/22/2001,37.0,24.0,
02/23/2001,22.0,22.0,
02/24/2001,37.0,39.0,51.0
02/25/2001,38.0,36.0,
02/26/2001,34.0,35.0,
02/27/2001,27.0,51.0,46.0
02/28/2001,25.0,26.0,
03/01/2001,27.0,24.0,
03/02/2001,29.0,57.0,
03/03/2001,40.0,44.0,
03/04/2001,39.0,44.0,
03/05/2001,37.0,64.0,70.0
03/06/2001,45.0,44.0,
