Date,penn1,penn2,penn3,penn4,penn5,penn6
01/01/2001,33,25.0,38.0,50,63,37.0
01/02/2001,35,25.0,38.0,41,39,68.0
01/03/2001,38,54.0,57.0,73,53,65.0
01/04/2001,51,63.0,67.0,82,65,69.0
01/05/2001,61,85.0,44.0,95,56,29.0
01/06/2001,35,55.0,30.0,66,25,47.0
01/07/2001,24,84.0,37.0,94,53,76.0
01/08/2001,72,95.0,38.0,113,54,52.0
01/09/2001,30,38.0,19.0,57,35,25.0
01/10/2001,85,56.0,56.0,75,51,61.0
01/11/2001,67,60.0,68.0,74,56,51.0
01/12/2001,116,95.0,87.0,103,83,48.0
01/13/2001,130,131.0,121.0,107,123,143.0
01/14/2001,145,153.0,154.0,126,69,35.0
01/15/2001,125,133.0,117.0,95,48,32.0
01/16/2001,56,34.0,69.0,81,59,73.0
01/17/2001,60,68.0,64.0,81,56,26.0
01/18/2001,74,93.0,78.0,89,74,31.0
01/19/2001,59,67.0,58.0,66,75,70.0
01/20/2001,51,54.0,47.0,49,51,20.0
01/21/2001,42,40.0,39.0,53,46,39.0
01/22/2001,73,85.0,81.0,102,68,115.0
01/23/2001,95,138.0,139.0,144,60,57.0
01/24/2001,72,142.0,160.0,117,78,60.0
01/25/2001,32,48.0,75.0,74,54,56.0
01/26/2001,56,60.0,62.0,62,43,52.0
01/27/2001,50,67.0,80.0,73,38,38.0
01/28/2001,54,50.0,51.0,64,52,55.0
01/29/2001,83,83.0,115.0,87,55,42.0
01/30/2001,32,92.0,36.0,75,40,45.0
01/31/2001,27,68.0,47.0,81,33,65.0
02/01/2001,23,60.0,29.0,62,45,27.0
02/02/2001,51,39.0,31.0,71,45,33.0
02/03/2001,52,48.0,30.0,54,57,56.0
02/04/2001,64,79.0,52.0,72,35,29.0
02/05/2001,68,92.0,50.0,60,56,37.0
02/06/2001,52,54.0,33.0,77,58,57.0
02/07/2001,59,55.0,29.0,69,49,42.0
02/08/2001,76,84.0,78.0,74,59,38.0
02/09/2001,83,106.0,99.0,89,58,103.0
02/10/2001,34,22.0,36.0,31,20,9.0
02/11/2001,34,20.0,13.0,32,27,34.0
02/12/2001,33,40.0,36.0,43,41,40.0
02/13/2001,67,76.0,89.0,75,54,34.0
02/14/2001,75,83.0,91.0,101,44,28.0
02/15/2001,25,37.0,29.0,58,53,55.0
02/16/2001,52,81.0,63.0,63,60,25.0
02/17/2001,32,34.0,35.0,46,39,25.0
02/18/2001,28,32.0,27.0,58,30,34.0
02/19/2001,42,54.0,56.0,62,31,30.0
02/20/2001,34,65.0,77.0,73,50,40.0
02/21/2001,35,43.0,52.0,60,51,46.0
02/22/2001,38,49.0,33.0,43,40,32.0
02/23/2001,58,74.0,63.0,70,60,32.0
02/24/2001,51,56.0,32.0,57,74,59.0
02/25/2001,55,74.0,50.0,56,29,25.0
02/26/2001,35,41.0,44.0,48,48,30.0
02/27/2001,32,57.0,57.0,66,68,67.0
02/28/2001,36,30.0,33.0,52,40,32.0
03/01/2001,31,46.0,49.0,58,47,45.0
03/02/2001,25,58.0,66.0,73,49,64.0
03/03/2001,62,65.0,69.0,91,69,27.0
03/04/2001,57,71.0,61.0,58,58,24.0
03/05/2001,33,35.0,33.0,39,32,40.0
03/06/2001,31,23.0,11.0,35,22,25.0
03/07/2001,36,31.0,31.0,52,28,41.0
03/08/2001,55,70.0,70.0,76,61,70.0
03/09/2001,48,63.0,30.0,64,45,33.0
03/10/2001,36,35.0,43.0,45,38,34.0
03/11/2001,58,66.0,59.0,72,58,70.0
03/12/2001,52,40.0,32.0,42,54,44.0
03/13/2001,35,70.0,61.0,82,32,39.0
03/14/2001,39,42.0,38.0,69,42,40.0
03/15/2001,60,72.0,53.0,80,40,49.0
03/16/2001,68,102.0,37.0,83,33,34.0
03/17/2001,52,67.0,52.0,289,34,70.0
03/18/2001,40,23.0,13.0,39,25,25.0
03/19/2001,44,44.0,34.0,45,42,58.0
03/20/2001,39,45.0,36.0,70,55,52.0
03/21/2001,34,25.0,23.0,39,24,22.0
03/22/2001,47,15.0,13.0,41,36,20.0
03/23/2001,45,30.0,28.0,44,55,42.0
03/24/2001,45,44.0,40.0,56,54,36.0
03/25/2001,41,39.0,39.0,43,44,30.0
03/26/2001,30,38.0,35.0,62,29,52.0
03/27/2001,36,39.0,36.0,33,47,30.0
03/28/2001,60,68.0,54.0,64,49,44.0
03/29/2001,73,89.0,73.0,88,64,79.0
03/30/2001,32,27.0,24.0,45,45,28.0
03/31/2001,34,31.0,26.0,42,71,29.0
04/01/2001,56,67.0,53.0,60,72,88.0
04/02/2001,56,63.0,49.0,57,48,36.0
04/03/2001,62,71.0,63.0,70,52,48.0
04/04/2001,45,47.0,48.0,45,58,56.0
04/05/2001,61,53.0,52.0,56,67,53.0
04/06/2001,44,92.0,84.0,82,66,43.0
04/07/2001,41,84.0,64.0,81,66,88.0
04/08/2001,53,78.0,45.0,71,77,32.0
04/09/2001,59,61.0,66.0,80,65,52.0
04/10/2001,45,49.0,38.0,49,55,56.0
04/11/2001,53,65.0,25.0,46,48,28.0
04/12/2001,44,72.0,56.0,82,90,33.0
04/13/2001,51,51.0,48.0,67,51,48.0
04/14/2001,58,51.0,47.0,58,71,49.0
04/15/2001,64,64.0,71.0,64,52,54.0
04/16/2001,47,40.0,38.0,57,43,52.0
04/17/2001,34,38.0,36.0,32,40,50.0
04/18/2001,43,43.0,43.0,43,41,39.0
04/19/2001,44,41.0,44.0,71,58,48.0
04/20/2001,62,77.0,64.0,67,56,53.0
04/21/2001,70,88.0,72.0,82,67,58.0
04/22/2001,44,73.0,80.0,81,66,76.0
04/23/2001,112,112.0,87.0,96,105,100.0
04/24/2001,46,51.0,54.0,47,40,49.0
04/25/2001,49,44.0,45.0,47,51,42.0
04/26/2001,67,50.0,48.0,48,77,51.0
04/27/2001,71,59.0,71.0,61,80,50.0
04/28/2001,50,48.0,50.0,47,54,46.0
04/29/2001,74,54.0,58.0,51,64,49.0
04/30/2001,108,100.0,93.0,84,122,101.0
05/01/2001,151,119.0,140.0,115,151,108.0
05/02/2001,143,136.0,150.0,150,136,143.0
05/03/2001,136,156.0,172.0,179,143,154.0
05/04/2001,156,159.0,166.0,169,161,154.0
05/05/2001,48,61.0,56.0,67,71,47.0
05/06/2001,67,49.0,42.0,41,74,47.0
05/07/2001,54,47.0,44.0,43,71,45.0
05/08/2001,52,47.0,46.0,60,50,42.0
05/09/2001,84,71.0,71.0,70,80,54.0
05/10/2001,115,126.0,115.0,115,119,112.0
05/11/2001,97,122.0,156.0,147,115,122.0
05/12/2001,45,57.0,64.0,84,46,51.0
05/13/2001,43,44.0,45.0,46,46,44.0
05/14/2001,47,45.0,45.0,45,61,42.0
05/15/2001,64,51.0,51.0,70,54,55.0
05/16/2001,74,45.0,43.0,67,68,43.0
05/17/2001,53,43.0,48.0,38,63,33.0
05/18/2001,77,75.0,59.0,44,56,28.0
05/19/2001,50,64.0,61.0,90,77,85.0
05/20/2001,66,74.0,39.0,49,53,39.0
05/21/2001,34,28.0,31.0,29,37,24.0
05/22/2001,52,49.0,37.0,53,31,29.0
05/23/2001,51,51.0,31.0,38,49,51.0
05/24/2001,105,112.0,54.0,80,46,100.0
05/25/2001,78,80.0,36.0,55,38,76.0
05/26/2001,43,48.0,31.0,51,54,43.0
05/27/2001,45,48.0,36.0,48,51,50.0
05/28/2001,45,51.0,54.0,64,50,64.0
05/29/2001,45,43.0,46.0,56,48,44.0
05/30/2001,42,40.0,39.0,37,44,37.0
05/31/2001,44,44.0,39.0,52,47,45.0
06/01/2001,54,58.0,44.0,52,52,44.0
06/02/2001,48,58.0,55.0,58,48,45.0
06/03/2001,36,39.0,49.0,48,31,42.0
06/04/2001,49,51.0,48.0,51,44,51.0
06/05/2001,64,61.0,58.0,74,65,71.0
06/06/2001,41,58.0,40.0,88,82,62.0
06/07/2001,41,46.0,45.0,56,55,45.0
06/08/2001,45,48.0,50.0,61,87,47.0
06/09/2001,46,61.0,58.0,74,71,64.0
06/10/2001,80,97.0,74.0,67,105,100.0
06/11/2001,112,115.0,156.0,136,122,108.0
06/12/2001,115,119.0,126.0,147,103,122.0
06/13/2001,122,133.0,156.0,197,174,164.0
06/14/2001,174,154.0,166.0,106,172,112.0
06/15/2001,44,60.0,55.0,52,93,59.0
06/16/2001,38,56.0,48.0,52,48,30.0
06/17/2001,71,77.0,50.0,57,101,80.0
06/18/2001,84,126.0,80.0,87,112,105.0
06/19/2001,136,159.0,200.0,192,185,169.0
06/20/2001,156,151.0,187.0,169,108,156.0
06/21/2001,93,122.0,77.0,90,105,101.0
06/22/2001,71,79.0,55.0,47,55,47.0
06/23/2001,37,32.0,43.0,46,57,36.0
06/24/2001,46,39.0,38.0,44,69,43.0
06/25/2001,45,57.0,51.0,71,105,71.0
06/26/2001,90,105.0,90.0,101,147,108.0
06/27/2001,136,133.0,129.0,161,100,147.0
06/28/2001,129,133.0,126.0,154,147,140.0
06/29/2001,166,164.0,159.0,172,166,150.0
06/30/2001,91,97.0,133.0,151,106,98.0
07/01/2001,64,67.0,67.0,93,63,61.0
07/02/2001,31,34.0,35.0,48,40,40.0
07/03/2001,58,101.0,74.0,61,79,100.0
07/04/2001,68,65.0,80.0,84,66,51.0
07/05/2001,48,51.0,64.0,64,61,44.0
07/06/2001,33,34.0,30.0,57,49,35.0
07/07/2001,80,115.0,108.0,101,122,126.0
07/08/2001,67,89.0,77.0,74,93,61.0
07/09/2001,51,53.0,66.0,87,77,71.0
07/10/2001,90,80.0,122.0,112,87,87.0
07/11/2001,47,56.0,41.0,69,39,44.0
07/12/2001,31,35.0,32.0,52,49,36.0
07/13/2001,33,36.0,36.0,55,44,35.0
07/14/2001,36,36.0,35.0,49,46,38.0
07/15/2001,40,42.0,36.0,43,90,44.0
07/16/2001,71,90.0,53.0,64,105,77.0
07/17/2001,147,164.0,129.0,179,90,143.0
07/18/2001,112,126.0,147.0,108,154,116.0
07/19/2001,71,80.0,67.0,72,119,71.0
07/20/2001,80,115.0,67.0,53,122,97.0
07/21/2001,90,126.0,112.0,151,140,105.0
07/22/2001,101,147.0,150.0,105,122,115.0
07/23/2001,112,150.0,119.0,101,118,97.0
07/24/2001,154,115.0,122.0,61,129,64.0
07/25/2001,108,122.0,119.0,126,112,77.0
07/26/2001,27,44.0,29.0,42,47,26.0
07/27/2001,41,46.0,41.0,44,59,49.0
07/28/2001,97,115.0,93.0,93,75,100.0
07/29/2001,42,36.0,36.0,31,38,34.0
07/30/2001,30,49.0,58.0,44,75,47.0
07/31/2001,61,87.0,56.0,105,156,61.0
08/01/2001,81,166.0,136.0,143,147,136.0
08/02/2001,87,143.0,150.0,90,152,115.0
08/03/2001,104,147.0,101.0,105,135,122.0
08/04/2001,77,108.0,87.0,67,77,84.0
08/05/2001,68,126.0,90.0,126,133,133.0
08/06/2001,150,156.0,136.0,156,156,112.0
08/07/2001,136,161.0,182.0,208,129,154.0
08/08/2001,90,105.0,112.0,169,129,122.0
08/09/2001,150,182.0,190.0,202,159,151.0
08/10/2001,47,88.0,54.0,115,93,39.0
08/11/2001,44,60.0,23.0,72,105,72.0
08/12/2001,42,65.0,33.0,55,38,36.0
08/13/2001,64,71.0,58.0,71,105,33.0
08/14/2001,87,105.0,46.0,105,64,108.0
08/15/2001,122,147.0,122.0,112,115,126.0
08/16/2001,101,151.0,100.0,93,115,129.0
08/17/2001,61,93.0,80.0,90,62,84.0
08/18/2001,64,74.0,74.0,80,71,71.0
08/19/2001,77,101.0,105.0,93,62,87.0
08/20/2001,46,74.0,87.0,87,44,64.0
08/21/2001,31,52.0,70.0,61,48,44.0
08/22/2001,93,105.0,90.0,90,80,100.0
08/23/2001,31,84.0,93.0,93,57,84.0
08/24/2001,46,81.0,78.0,93,84,40.0
08/25/2001,80,112.0,71.0,53,87,31.0
08/26/2001,68,105.0,101.0,80,84,52.0
08/27/2001,61,63.0,59.0,62,57,48.0
08/28/2001,59,71.0,84.0,93,62,115.0
08/29/2001,44,64.0,52.0,64,64,71.0
08/30/2001,90,75.0,61.0,69,122,67.0
08/31/2001,71,70.0,101.0,81,63,64.0
09/01/2001,30,31.0,30.0,43,42,36.0
09/02/2001,36,44.0,35.0,44,61,45.0
09/03/2001,62,87.0,67.0,87,90,80.0
09/04/2001,67,73.0,59.0,71,66,76.0
09/05/2001,34,39.0,36.0,43,42,38.0
09/06/2001,47,46.0,47.0,65,74,52.0
09/07/2001,126,159.0,129.0,101,112,129.0
09/08/2001,108,126.0,90.0,54,108,101.0
09/09/2001,55,51.0,51.0,44,84,44.0
09/10/2001,42,29.0,35.0,43,44,37.0
09/11/2001,46,50.0,47.0,51,54,50.0
09/12/2001,50,48.0,39.0,43,61,45.0
09/13/2001,105,133.0,122.0,112,112,129.0
09/14/2001,26,28.0,18.0,32,32,25.0
09/15/2001,31,35.0,32.0,37,36,34.0
09/16/2001,38,43.0,37.0,45,56,44.0
09/17/2001,44,54.0,51.0,67,49,46.0
09/18/2001,64,71.0,63.0,68,77,48.0
09/19/2001,143,133.0,105.0,119,87,119.0
09/20/2001,48,65.0,43.0,39,53,30.0
09/21/2001,61,70.0,64.0,57,58,46.0
09/22/2001,58,72.0,75.0,76,63,72.0
09/23/2001,61,87.0,64.0,71,74,64.0
09/24/2001,51,83.0,87.0,81,45,35.0
09/25/2001,20,24.0,26.0,35,17,20.0
09/26/2001,31,32.0,34.0,37,27,31.0
09/27/2001,22,28.0,36.0,46,24,38.0
09/28/2001,27,23.0,27.0,34,31,32.0
09/29/2001,27,30.0,27.0,26,34,22.0
09/30/2001,27,27.0,23.0,28,38,25.0
10/01/2001,35,37.0,33.0,42,52,40.0
10/02/2001,62,44.0,60.0,61,61,53.0
10/03/2001,90,77.0,77.0,84,100,84.0
10/04/2001,93,90.0,84.0,89,108,87.0
10/05/2001,84,80.0,80.0,88,100,80.0
10/06/2001,41,37.0,43.0,40,29,36.0
10/07/2001,31,31.0,29.0,27,33,31.0
10/08/2001,28,28.0,26.0,34,32,31.0
10/09/2001,36,40.0,39.0,43,43,33.0
10/10/2001,44,46.0,44.0,56,49,45.0
10/11/2001,46,53.0,57.0,44,41,34.0
10/12/2001,43,49.0,54.0,47,29,30.0
10/13/2001,44,51.0,46.0,54,40,46.0
10/14/2001,44,45.0,46.0,41,31,34.0
10/15/2001,27,30.0,29.0,45,32,34.0
10/16/2001,31,35.0,38.0,54,33,117.0
10/17/2001,30,27.0,28.0,25,31,25.0
10/18/2001,31,29.0,31.0,46,38,43.0
10/19/2001,41,52.0,53.0,66,54,50.0
10/20/2001,54,60.0,64.0,67,50,50.0
10/21/2001,80,77.0,74.0,75,100,74.0
10/22/2001,60,73.0,53.0,78,79,81.0
10/23/2001,55,78.0,52.0,66,56,28.0
10/24/2001,43,68.0,59.0,64,40,39.0
