Date,tx1,tx2,tx3,tx4,tx5,tx6
01/01/2001,44.0,53.0,56,40.0,53.0,23.0
01/02/2001,24.0,19.0,61,26.0,24.0,25.0
01/03/2001,22.0,19.0,81,36.0,29.0,29.0
01/04/2001,59.0,36.0,64,57.0,39.0,29.0
01/05/2001,37.0,23.0,51,33.0,34.0,29.0
01/06/2001,31.0,30.0,62,38.0,35.0,31.0
01/07/2001,38.0,35.0,43,47.0,48.0,35.0
01/08/2001,21.0,22.0,50,28.0,24.0,31.0
01/09/2001,34.0,34.0,73,34.0,39.0,30.0
01/10/2001,28.0,30.0,61,34.0,38.0,24.0
01/11/2001,21.0,26.0,56,33.0,18.0,23.0
01/12/2001,19.0,39.0,68,17.0,28.0,15.0
01/13/2001,45.0,36.0,52,103.0,45.0,14.0
01/14/2001,25.0,19.0,44,39.0,24.0,29.0
01/15/2001,19.0,22.0,60,25.0,16.0,22.0
01/16/2001,29.0,55.0,32,35.0,54.0,21.0
01/17/2001,12.0,18.0,47,17.0,19.0,18.0
01/18/2001,12.0,19.0,71,14.0,24.0,26.0
01/19/2001,27.0,31.0,45,30.0,31.0,33.0
01/20/2001,31.0,36.0,41,32.0,35.0,24.0
01/21/2001,37.0,38.0,56,31.0,43.0,30.0
01/22/2001,52.0,31.0,98,55.0,58.0,25.0
01/23/2001,41.0,39.0,91,42.0,38.0,28.0
01/24/2001,41.0,31.0,99,31.0,43.0,31.0
01/25/2001,101.0,34.0,91,83.0,60.0,39.0
01/26/2001,27.0,31.0,54,39.0,37.0,34.0
01/27/2001,43.0,32.0,69,35.0,38.0,21.0
01/28/2001,48.0,32.0,65,51.0,51.0,29.0
01/29/2001,31.0,31.0,36,35.0,36.0,37.0
01/30/2001,32.0,31.0,42,36.0,35.0,37.0
01/31/2001,28.0,31.0,41,48.0,44.0,33.0
02/01/2001,28.0,28.0,65,23.0,25.0,25.0
02/02/2001,19.0,21.0,56,27.0,19.0,23.0
02/03/2001,38.0,35.0,49,47.0,44.0,34.0
02/04/2001,50.0,40.0,39,44.0,67.0,37.0
02/05/2001,39.0,43.0,49,37.0,77.0,41.0
02/06/2001,38.0,39.0,54,46.0,45.0,39.0
02/07/2001,33.0,26.0,55,36.0,37.0,29.0
02/08/2001,31.0,27.0,48,33.0,32.0,22.0
02/09/2001,26.0,43.0,31,34.0,35.0,31.0
02/10/2001,33.0,26.0,33,26.0,27.0,23.0
02/11/2001,18.0,23.0,44,14.0,20.0,18.0
02/12/2001,57.0,33.0,53,85.0,56.0,8.0
02/13/2001,18.0,17.0,54,30.0,19.0,8.0
02/14/2001,14.0,17.0,44,15.0,21.0,15.0
02/15/2001,41.0,48.0,28,37.0,42.0,13.0
02/16/2001,24.0,36.0,38,22.0,39.0,29.0
02/17/2001,24.0,38.0,62,32.0,37.0,29.0
02/18/2001,42.0,52.0,60,41.0,55.0,35.0
02/19/2001,37.0,39.0,52,24.0,43.0,35.0
02/20/2001,31.0,27.0,55,32.0,43.0,29.0
02/21/2001,48.0,45.0,77,60.0,40.0,19.0
02/22/2001,24.0,19.0,68,48.0,31.0,17.0
02/23/2001,24.0,22.0,73,45.0,25.0,17.0
02/24/2001,41.0,59.0,53,59.0,56.0,33.0
02/25/2001,42.0,21.0,49,39.0,50.0,38.0
02/26/2001,18.0,18.0,34,13.0,20.0,21.0
02/27/2001,31.0,43.0,50,40.0,43.0,11.0
02/28/2001,6.0,16.0,37,40.0,17.0,14.0
03/01/2001,0.0,6.0,58,22.0,8.0,14.0
03/02/2001,25.0,22.0,65,25.0,25.0,18.0
03/03/2001,29.0,33.0,80,26.0,29.0,30.0
03/04/2001,47.0,41.0,60,47.0,45.0,43.0
03/05/2001,46.0,48.0,72,143.0,71.0,40.0
03/06/2001,71.0,50.0,69,51.0,90.0,34.0
