Date,wv1,wv2,wv3,wv4
01/01/2001,55.0,67.0,34.0,77.0
01/02/2001,12.0,,28.0,
01/03/2001,15.0,,31.0,
01/04/2001,59.0,57.0,39.0,56.0
01/05/2001,14.0,,26.0,
01/06/2001,8.0,,25.0,
01/07/2001,56.0,74.0,30.0,48.0
01/08/2001,11.0,,22.0,
01/09/2001,10.0,,19.0,
01/10/2001,55.0,67.0,29.0,51.0
01/11/2001,26.0,,29.0,
01/12/2001,60.0,,32.0,
01/13/2001,137.0,109.0,29.0,110.0
01/14/2001,52.0,,19.0,
01/15/2001,25.0,,20.0,
01/16/2001,58.0,48.0,43.0,47.0
01/17/2001,12.0,,20.0,
01/18/2001,29.0,,9.0,
01/19/2001,81.0,71.0,9.0,70.0
01/20/2001,10.0,,20.0,
01/21/2001,9.0,,30.0,
01/22/2001,68.0,87.0,28.0,76.0
01/23/2001,43.0,,30.0,
01/24/2001,22.0,,24.0,
01/25/2001,52.0,59.0,40.0,52.0
01/26/2001,40.0,,34.0,
01/27/2001,7.0,,30.0,
01/28/2001,56.0,68.0,31.0,69.0
01/29/2001,31.0,,39.0,
01/30/2001,12.0,,42.0,
01/31/2001,32.0,39.0,33.0,25.0
02/01/2001,13.0,,30.0,
02/02/2001,12.0,,28.0,
02/03/2001,56.0,54.0,30.0,60.0
02/04/2001,29.0,,37.0,
02/05/2001,17.0,,27.0,
02/06/2001,60.0,56.0,35.0,55.0
02/07/2001,17.0,,35.0,
02/08/2001,33.0,,50.0,
02/09/2001,69.0,65.0,42.0,64.0
02/10/2001,11.0,,31.0,
02/11/2001,9.0,,31.0,
02/12/2001,49.0,55.0,32.0,52.0
02/13/2001,26.0,,23.0,
02/14/2001,17.0,,19.0,
02/15/2001,62.0,52.0,13.0,59.0
02/16/2001,17.0,,18.0,
02/17/2001,12.0,,32.0,
02/18/2001,41.0,42.0,31.0,38.0
02/19/2001,24.0,,36.0,
02/20/2001,18.0,,46.0,
02/21/2001,52.0,52.0,50.0,57.0
02/22/2001,14.0,,31.0,
02/23/2001,19.0,,28.0,
02/24/2001,68.0,66.0,37.0,57.0
02/25/2001,28.0,,48.0,
02/26/2001,20.0,,38.0,
02/27/2001,83.0,67.0,40.0,73.0
02/28/2001,12.0,,33.0,
03/01/2001,12.0,,37.0,
03/02/2001,55.0,63.0,27.0,19.0
03/03/2001,19.0,,32.0,
03/04/2001,18.0,,30.0,
03/05/2001,35.0,32.0,33.0,
03/06/2001,8.0,,31.0,
03/07/2001,7.0,,29.0,
03/08/2001,59.0,59.0,44.0,63.0
03/09/2001,11.0,,33.0,
03/10/2001,16.0,,38.0,
03/11/2001,70.0,75.0,41.0,66.0
03/12/2001,16.0,,54.0,
03/13/2001,13.0,,43.0,
03/14/2001,57.0,40.0,41.0,33.0
03/15/2001,32.0,,41.0,
03/16/2001,13.0,,42.0,
03/17/2001,56.0,27.0,34.0,43.0
03/18/2001,8.0,,36.0,
03/19/2001,14.0,,44.0,
03/20/2001,42.0,25.0,42.0,30.0
03/21/2001,12.0,,37.0,
03/22/2001,14.0,,44.0,
03/23/2001,67.0,66.0,55.0,71.0
03/24/2001,17.0,,41.0,
03/25/2001,11.0,,40.0,
03/26/2001,49.0,30.0,31.0,33.0
03/27/2001,11.0,,27.0,
03/28/2001,38.0,,39.0,
03/29/2001,65.0,60.0,43.0,63.0
03/30/2001,12.0,,20.0,
03/31/2001,22.0,,13.0,
04/01/2001,86.0,67.0,48.0,73.0
04/02/2001,17.0,,44.0,
04/03/2001,41.0,,47.0,41.0
04/04/2001,57.0,58.0,48.0,63.0
04/05/2001,30.0,,84.0,61.0
04/06/2001,45.0,,33.0,24.0
04/07/2001,76.0,67.0,52.0,62.0
04/08/2001,44.0,,47.0,46.0
04/09/2001,42.0,,49.0,47.0
04/10/2001,55.0,52.0,58.0,51.0
04/11/2001,20.0,,44.0,49.0
04/12/2001,31.0,,51.0,74.0
04/13/2001,37.0,26.0,37.0,61.0
04/14/2001,19.0,,74.0,77.0
04/15/2001,21.0,,51.0,41.0
04/16/2001,55.0,29.0,43.0,45.0
04/17/2001,11.0,,37.0,38.0
04/18/2001,20.0,,41.0,43.0
04/19/2001,68.0,54.0,50.0,58.0
04/20/2001,56.0,,45.0,21.0
04/21/2001,52.0,,49.0,71.0
04/22/2001,67.0,68.0,58.0,68.0
04/23/2001,63.0,,105.0,74.0
04/24/2001,12.0,,42.0,45.0
04/25/2001,32.0,35.0,61.0,61.0
04/26/2001,32.0,,80.0,51.0
04/27/2001,48.0,,97.0,101.0
04/28/2001,30.0,30.0,49.0,51.0
04/29/2001,19.0,,84.0,64.0
04/30/2001,46.0,,100.0,126.0
05/01/2001,91.0,78.0,119.0,108.0
05/02/2001,15.0,,112.0,108.0
05/03/2001,56.0,,140.0,108.0
05/04/2001,115.0,107.0,122.0,147.0
05/05/2001,34.0,,126.0,84.0
05/06/2001,24.0,,64.0,100.0
05/07/2001,64.0,63.0,64.0,61.0
05/08/2001,24.0,,47.0,31.0
05/09/2001,35.0,,97.0,58.0
05/10/2001,89.0,67.0,105.0,122.0
05/11/2001,54.0,,100.0,100.0
05/12/2001,17.0,,47.0,47.0
05/13/2001,27.0,30.0,48.0,52.0
05/14/2001,20.0,,61.0,74.0
05/15/2001,34.0,,30.0,34.0
05/16/2001,73.0,67.0,42.0,76.0
05/17/2001,31.0,,31.0,61.0
05/18/2001,20.0,,29.0,28.0
05/19/2001,45.0,57.0,40.0,66.0
05/20/2001,23.0,,38.0,77.0
05/21/2001,16.0,,37.0,40.0
05/22/2001,44.0,32.0,32.0,33.0
05/23/2001,21.0,,48.0,44.0
05/24/2001,17.0,,67.0,
05/25/2001,50.0,33.0,38.0,38.0
05/26/2001,21.0,,50.0,50.0
05/27/2001,16.0,,49.0,46.0
05/28/2001,44.0,48.0,67.0,50.0
05/29/2001,19.0,,49.0,54.0
05/30/2001,10.0,,46.0,44.0
05/31/2001,46.0,36.0,48.0,42.0
