Date,wy1,wy2,wy3,wy4
01/01/2001,61.0,9.0,45.0,39.0
01/02/2001,45.0,13.0,44.0,42.0
01/03/2001,44.0,35.0,44.0,42.0
01/04/2001,47.0,42.0,44.0,44.0
01/05/2001,45.0,36.0,42.0,43.0
01/06/2001,47.0,26.0,46.0,44.0
01/07/2001,66.0,21.0,46.0,43.0
01/08/2001,47.0,8.0,44.0,42.0
01/09/2001,46.0,14.0,54.0,46.0
01/10/2001,45.0,6.0,45.0,43.0
01/11/2001,47.0,10.0,44.0,41.0
01/12/2001,43.0,7.0,43.0,43.0
01/13/2001,41.0,11.0,44.0,41.0
01/14/2001,43.0,11.0,40.0,37.0
01/15/2001,41.0,6.0,41.0,37.0
01/16/2001,42.0,6.0,41.0,35.0
01/17/2001,45.0,31.0,42.0,37.0
01/18/2001,44.0,54.0,43.0,38.0
01/19/2001,45.0,13.0,43.0,39.0
01/20/2001,48.0,19.0,44.0,38.0
01/21/2001,51.0,15.0,44.0,41.0
01/22/2001,48.0,11.0,44.0,44.0
01/23/2001,67.0,12.0,47.0,41.0
01/24/2001,61.0,12.0,49.0,46.0
01/25/2001,49.0,12.0,44.0,45.0
01/26/2001,48.0,9.0,44.0,42.0
01/27/2001,48.0,7.0,47.0,45.0
01/28/2001,46.0,14.0,49.0,41.0
01/29/2001,49.0,49.0,44.0,43.0
01/30/2001,44.0,41.0,41.0,
01/31/2001,44.0,26.0,39.0,36.0
02/01/2001,44.0,8.0,43.0,39.0
02/02/2001,46.0,9.0,44.0,43.0
02/03/2001,45.0,12.0,43.0,42.0
02/04/2001,44.0,7.0,43.0,40.0
02/05/2001,45.0,7.0,44.0,39.0
02/06/2001,44.0,8.0,46.0,45.0
02/07/2001,46.0,9.0,38.0,36.0
02/08/2001,54.0,9.0,43.0,39.0
02/09/2001,64.0,12.0,45.0,43.0
02/10/2001,51.0,17.0,50.0,45.0
02/11/2001,49.0,11.0,74.0,45.0
02/12/2001,47.0,13.0,50.0,45.0
02/13/2001,48.0,9.0,48.0,44.0
02/14/2001,50.0,7.0,48.0,45.0
02/15/2001,50.0,11.0,45.0,44.0
02/16/2001,45.0,10.0,44.0,45.0
02/17/2001,47.0,9.0,50.0,46.0
02/18/2001,49.0,11.0,58.0,49.0
02/19/2001,50.0,12.0,48.0,45.0
02/20/2001,54.0,9.0,54.0,46.0
02/21/2001,58.0,10.0,48.0,46.0
02/22/2001,48.0,8.0,51.0,44.0
02/23/2001,61.0,9.0,49.0,44.0
02/24/2001,49.0,10.0,43.0,43.0
02/25/2001,47.0,9.0,47.0,43.0
02/26/2001,50.0,9.0,45.0,44.0
02/27/2001,49.0,8.0,46.0,48.0
02/28/2001,49.0,,49.0,47.0
03/01/2001,54.0,,51.0,49.0
03/02/2001,54.0,19.0,64.0,50.0
03/03/2001,58.0,17.0,67.0,
03/04/2001,61.0,11.0,64.0,50.0
03/05/2001,61.0,13.0,51.0,51.0
03/06/2001,54.0,14.0,54.0,48.0
03/07/2001,50.0,12.0,46.0,46.0
03/08/2001,64.0,12.0,46.0,47.0
03/09/2001,51.0,18.0,54.0,48.0
03/10/2001,50.0,15.0,45.0,44.0
03/11/2001,50.0,8.0,50.0,49.0
03/12/2001,48.0,13.0,45.0,44.0
03/13/2001,58.0,22.0,51.0,49.0
03/14/2001,54.0,31.0,48.0,48.0
03/15/2001,50.0,27.0,49.0,50.0
03/16/2001,54.0,28.0,58.0,64.0
03/17/2001,67.0,12.0,50.0,48.0
03/18/2001,51.0,12.0,47.0,46.0
03/19/2001,48.0,13.0,44.0,43.0
03/20/2001,44.0,16.0,38.0,32.0
03/21/2001,49.0,13.0,45.0,45.0
03/22/2001,58.0,10.0,46.0,48.0
03/23/2001,50.0,15.0,46.0,44.0
03/24/2001,47.0,16.0,44.0,45.0
03/25/2001,50.0,12.0,43.0,43.0
03/26/2001,67.0,10.0,54.0,47.0
03/27/2001,67.0,12.0,67.0,58.0
03/28/2001,61.0,14.0,49.0,47.0
03/29/2001,47.0,17.0,48.0,49.0
03/30/2001,48.0,18.0,48.0,50.0
03/31/2001,51.0,44.0,49.0,50.0
04/01/2001,46.0,52.0,51.0,54.0
04/02/2001,61.0,46.0,54.0,51.0
04/03/2001,67.0,59.0,61.0,71.0
04/04/2001,61.0,3.0,50.0,67.0
04/05/2001,77.0,15.0,51.0,64.0
04/06/2001,50.0,33.0,50.0,54.0
04/07/2001,67.0,27.0,64.0,54.0
04/08/2001,100.0,35.0,,47.0
04/09/2001,84.0,33.0,,46.0
04/10/2001,67.0,45.0,80.0,49.0
04/11/2001,64.0,31.0,54.0,51.0
04/12/2001,64.0,26.0,54.0,48.0
04/13/2001,77.0,25.0,51.0,49.0
04/14/2001,77.0,27.0,61.0,61.0
04/15/2001,80.0,33.0,71.0,71.0
04/16/2001,74.0,26.0,58.0,54.0
04/17/2001,87.0,21.0,74.0,74.0
04/18/2001,84.0,27.0,67.0,71.0
04/19/2001,80.0,25.0,49.0,50.0
04/20/2001,58.0,31.0,49.0,45.0
04/21/2001,49.0,26.0,46.0,47.0
04/22/2001,49.0,18.0,50.0,49.0
04/23/2001,49.0,19.0,48.0,46.0
04/24/2001,48.0,21.0,,50.0
04/25/2001,61.0,22.0,71.0,64.0
04/26/2001,84.0,19.0,77.0,80.0
04/27/2001,90.0,17.0,64.0,64.0
04/28/2001,74.0,14.0,71.0,84.0
04/29/2001,71.0,16.0,97.0,74.0
04/30/2001,51.0,24.0,45.0,44.0
05/01/2001,66.0,38.0,84.0,61.0
05/02/2001,47.0,29.0,50.0,47.0
05/03/2001,50.0,41.0,48.0,49.0
05/04/2001,48.0,21.0,61.0,80.0
05/05/2001,61.0,16.0,80.0,67.0
05/06/2001,90.0,19.0,101.0,87.0
05/07/2001,93.0,31.0,87.0,93.0
05/08/2001,64.0,6.0,50.0,58.0
05/09/2001,51.0,31.0,50.0,45.0
05/10/2001,84.0,38.0,77.0,77.0
05/11/2001,74.0,39.0,87.0,87.0
05/12/2001,93.0,35.0,84.0,80.0
05/13/2001,93.0,26.0,87.0,80.0
05/14/2001,71.0,10.0,61.0,54.0
05/15/2001,50.0,24.0,42.0,36.0
05/16/2001,64.0,28.0,74.0,61.0
05/17/2001,100.0,20.0,97.0,77.0
05/18/2001,97.0,3.0,67.0,50.0
05/19/2001,80.0,9.0,90.0,67.0
05/20/2001,74.0,,80.0,61.0
05/21/2001,71.0,,64.0,54.0
05/22/2001,49.0,,44.0,36.0
05/23/2001,44.0,,43.0,37.0
05/24/2001,44.0,,40.0,36.0
05/25/2001,49.0,24.0,44.0,36.0
05/26/2001,48.0,,,43.0
05/27/2001,64.0,,61.0,38.0
05/28/2001,51.0,,50.0,43.0
05/29/2001,58.0,,80.0,93.0
05/30/2001,54.0,,80.0,77.0
05/31/2001,49.0,12.0,51.0,41.0
06/01/2001,51.0,,48.0,49.0
06/02/2001,80.0,,51.0,46.0
06/03/2001,80.0,,50.0,44.0
06/04/2001,54.0,,44.0,37.0
06/05/2001,61.0,,50.0,45.0
06/06/2001,58.0,10.0,61.0,46.0
06/07/2001,50.0,,45.0,40.0
06/08/2001,48.0,,49.0,44.0
06/09/2001,61.0,,49.0,49.0
06/10/2001,84.0,,50.0,64.0
06/11/2001,58.0,,54.0,43.0
06/12/2001,71.0,11.0,47.0,44.0
06/13/2001,49.0,,40.0,38.0
06/14/2001,51.0,,44.0,40.0
06/15/2001,80.0,,74.0,58.0
06/16/2001,74.0,,71.0,64.0
06/17/2001,64.0,,49.0,46.0
06/18/2001,61.0,10.0,64.0,71.0
06/19/2001,49.0,,49.0,51.0
06/20/2001,46.0,22.0,44.0,42.0
06/21/2001,74.0,8.0,44.0,41.0
06/22/2001,54.0,8.0,51.0,47.0
06/23/2001,77.0,13.0,64.0,61.0
06/24/2001,58.0,29.0,67.0,47.0
06/25/2001,51.0,29.0,50.0,44.0
06/26/2001,71.0,32.0,46.0,44.0
06/27/2001,46.0,25.0,42.0,43.0
06/28/2001,37.0,22.0,48.0,40.0
06/29/2001,54.0,23.0,58.0,48.0
