"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","7"
"01/02/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","15"
"01/03/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","5"
"01/04/2020","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","11"
"01/05/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","9"
"01/06/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","9"
"01/07/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","10"
"01/08/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","19"
"01/09/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","10"
"01/10/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","22"
"01/11/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","16"
"01/12/2020","23","Ozone","PAINTED CANYON","38-007-0002","AQS","23","5"
"01/13/2020","34","PM2.5","PAINTED CANYON","38-007-0002","AQS","22","34"
"01/14/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","23"
"01/15/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","22"
"01/16/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","24"
"01/17/2020","28","PM2.5","PAINTED CANYON","38-007-0002","AQS","23","28"
"01/18/2020","33","PM2.5","PAINTED CANYON","38-007-0002","AQS","30","33"
"01/19/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","22"
"01/20/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","25"
"01/21/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","13"
"01/22/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","4"
"01/23/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","18"
"01/24/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","11"
"01/25/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","11"
"01/26/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","18"
"01/27/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","5"
"01/28/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","3"
"01/29/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","0"
"01/30/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","1"
"01/31/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","3"
"02/01/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","8"
"02/02/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","6"
"02/03/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","3"
"02/04/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","15"
"02/05/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","5"
"02/06/2020","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","20"
"02/07/2020","30","PM2.5","PAINTED CANYON","38-007-0002","AQS","27","30"
"02/08/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","15"
"02/09/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","23"
"02/10/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","2"
"02/11/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","13"
"02/12/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","11"
