"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2021","28","PM2.5","Kittanning","42-005-0001","AQS","27","28"
"01/02/2021","22","Ozone","Kittanning","42-005-0001","AQS","22","17"
"01/03/2021","28","PM2.5","Kittanning","42-005-0001","AQS","21","28"
"01/04/2021","39","PM2.5","Kittanning","42-005-0001","AQS","11","39"
"01/05/2021","44","PM2.5","Kittanning","42-005-0001","AQS","21","44"
"01/06/2021","45","PM2.5","Kittanning","42-005-0001","AQS","31","45"
"01/07/2021","33","PM2.5","Kittanning","42-005-0001","AQS","30","33"
"01/08/2021","36","PM2.5","Kittanning","42-005-0001","AQS","25","36"
"01/09/2021","35","PM2.5","Kittanning","42-005-0001","AQS","30","35"
"01/10/2021","50","PM2.5","Kittanning","42-005-0001","AQS","31","50"
"01/11/2021","67","PM2.5","Kittanning","42-005-0001","AQS","24","67"
"01/12/2021","67","PM2.5","Kittanning","42-005-0001","AQS","22","67"
"01/13/2021","62","PM2.5","Kittanning","42-005-0001","AQS","23","62"
"01/14/2021","54","PM2.5","Kittanning","42-005-0001","AQS","27","54"
"01/15/2021","45","PM2.5","Kittanning","42-005-0001","AQS","29","45"
"01/16/2021","43","PM2.5","Kittanning","42-005-0001","AQS","24","43"
"01/17/2021","32","PM2.5","Kittanning","42-005-0001","AQS","23","32"
"01/18/2021","27","PM2.5","Kittanning","42-005-0001","AQS","25","27"
"01/20/2021","32","Ozone","Kittanning","42-005-0001","AQS","32","."
"01/21/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","26"
"01/22/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","28"
"01/23/2021","33","Ozone","Kittanning","42-005-0001","AQS","33","21"
"01/24/2021","38","PM2.5","Kittanning","42-005-0001","AQS","32","38"
"01/25/2021","42","PM2.5","Kittanning","42-005-0001","AQS","25","42"
"01/26/2021","32","PM2.5","Kittanning","42-005-0001","AQS","27","32"
"01/27/2021","28","PM2.5","Kittanning","42-005-0001","AQS",".","28"
"01/29/2021","33","Ozone","Kittanning","42-005-0001","AQS","33","22"
"01/30/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","29"
"01/31/2021","45","PM2.5","Kittanning","42-005-0001","AQS","31","45"
"02/01/2021","36","Ozone","Kittanning","42-005-0001","AQS","36","24"
"02/02/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","21"
"02/03/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","18"
"02/04/2021","49","PM2.5","Kittanning","42-005-0001","AQS","38","49"
"02/05/2021","34","Ozone","Kittanning","42-005-0001","AQS","34","25"
"02/06/2021","39","Ozone","Kittanning","42-005-0001","AQS","39","38"
"02/07/2021","41","PM2.5","Kittanning","42-005-0001","AQS","34","41"
"02/08/2021","48","PM2.5","Kittanning","42-005-0001","AQS","35","48"
