"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2001","56","PM2.5","Convention Center","48-113-0050","AQS","2","31","31","56","10"
"01/02/2001","61","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","7","31",".","61","42"
"01/03/2001","81","PM2.5","Convention Center","48-113-0050","AQS","13","19",".","81","55"
"01/04/2001","64","PM2.5","BOY'S  CLUB","48-113-0057","AQS","17","17",".","64","41"
"01/05/2001","51","PM2.5","Dallas Hinton","48-113-0069","AQS","20","23",".","51","40"
"01/06/2001","62","PM2.5","Convention Center","48-113-0050","AQS","28","32",".","62","57"
"01/07/2001","43","PM2.5","Dallas Hinton","48-113-0069","AQS","6","28","28","43","29"
"01/08/2001","50","PM2.5","Convention Center","48-113-0050","AQS","18","17",".","50","46"
"01/09/2001","73","PM2.5","BOY'S  CLUB","48-113-0057","AQS","27","27",".","73","50"
"01/10/2001","61","PM2.5","Convention Center","48-113-0050","AQS","6","18",".","61","30"
"01/11/2001","56","PM2.5","Convention Center","48-113-0050","AQS","6","14",".","56","25"
"01/12/2001","68","PM2.5","Convention Center","48-113-0050","AQS","6","15",".","68","25"
"01/13/2001","52","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","6","11","19","52","21"
"01/14/2001","44","PM2.5","Convention Center","48-113-0050","AQS","13","19",".","44","34"
"01/15/2001","60","PM2.5","Convention Center","48-113-0050","AQS","25","24",".","60","53"
"01/16/2001","32","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","5","24",".","32","24"
"01/17/2001","47","PM2.5","Dallas Hinton","48-113-0069","AQS","6","15",".","47","20"
"01/18/2001","71","PM2.5","Dallas Hinton","48-113-0069","AQS","5","15",".","71","27"
"01/19/2001","45","PM2.5","Convention Center","48-113-0050","AQS","5","25","19","45","20"
"01/20/2001","41","PM2.5","Convention Center","48-113-0050","AQS","7","25",".","41","35"
"01/21/2001","56","PM2.5","Convention Center","48-113-0050","AQS","13","21",".","56","35"
"01/22/2001","98","PM2.5","Convention Center","48-113-0050","AQS","20","19",".","98","46"
"01/23/2001","91","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","7","30",".","91","51"
"01/24/2001","99","PM2.5","Convention Center","48-113-0050","AQS","16","17",".","99","61"
"01/25/2001","91","PM2.5","BOY'S  CLUB","48-113-0057","AQS","9","38","47","91","40"
"01/26/2001","54","PM2.5","Convention Center","48-113-0050","AQS","7","35",".","54","50"
"01/27/2001","69","PM2.5","Convention Center","48-113-0050","AQS","7","21",".","69","15"
"01/28/2001","65","PM2.5","Convention Center","48-113-0050","AQS","5","20",".","65","15"
"01/29/2001","36","NO2","Dallas Hinton","48-113-0069","AQS","5","34",".","13","36"
"01/30/2001","42","NO2","Dallas Hinton","48-113-0069","AQS","3","32",".","25","42"
"01/31/2001","41","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","8","29","30","22","41"
"02/01/2001","65","NO2","Dallas Hinton","48-113-0069","AQS","25","30",".","58","65"
"02/02/2001","56","PM2.5","Convention Center","48-113-0050","AQS","13","31",".","56","50"
"02/03/2001","49","PM2.5","BOY'S  CLUB","48-113-0057","AQS","11","38",".","49","43"
"02/04/2001","39","PM2.5","Convention Center","48-113-0050","AQS","6","36",".","39","36"
"02/05/2001","49","NO2","Dallas Hinton","48-113-0069","AQS","15","38",".","42","49"
"02/06/2001","54","PM2.5","BOY'S  CLUB","48-113-0057","AQS","9","41","35","54","46"
"02/07/2001","55","PM2.5","Convention Center","48-113-0050","AQS","13","36",".","55","42"
"02/08/2001","48","PM2.5","Convention Center","48-113-0050","AQS","3","30",".","48","19"
"02/09/2001","31","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","2","31",".","28","15"
"02/10/2001","33","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","3","32",".","33","15"
"02/11/2001","44","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","3","22",".","44","16"
"02/12/2001","53","PM2.5","Convention Center","48-113-0050","AQS","7","10","19","53","20"
"02/13/2001","54","PM2.5","Dallas Hinton","48-113-0069","AQS","13","7",".","54","21"
"02/14/2001","44","PM2.5","Convention Center","48-113-0050","AQS","7","11",".","44","21"
"02/15/2001","28","PM2.5","Dallas Hinton","48-113-0069","AQS","6","13",".","28","16"
"02/16/2001","38","PM2.5","Convention Center","48-113-0050","AQS","6","29",".","38","17"
"02/17/2001","62","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","8","27",".","62","34"
"02/18/2001","60","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","13","39","25","60","33"
"02/19/2001","52","PM2.5","Convention Center","48-113-0050","AQS","5","42",".","52","33"
"02/20/2001","55","PM2.5","Convention Center","48-113-0050","AQS","6","34",".","55","33"
"02/21/2001","77","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","7","18",".","77","25"
"02/22/2001","68","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","5","29",".","68","27"
"02/23/2001","73","PM2.5","Convention Center","48-113-0050","AQS","7","23",".","73","25"
"02/24/2001","53","PM10","BOY'S  CLUB","48-113-0057","AQS","5","40","53","46","16"
