"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2017","67","PM2.5","Convention Center","48-113-0050","AQS","5","19","67","25"
"01/02/2017","30","Ozone","Dallas Hinton","48-113-0069","AQS","3","30","20","27"
"01/03/2017","25","NO2","Dallas North #2","48-113-0075","AQS","3","19","20","25"
"01/04/2017","29","PM2.5","Convention Center","48-113-0050","AQS","3","18","29","25"
"01/05/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","3","27","42","19"
"01/06/2017","30","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","30","18"
"01/07/2017","61","PM2.5","Dallas Hinton","48-113-0069","AQS","7","29","61","42"
"01/08/2017","54","PM2.5","Dallas Hinton","48-113-0069","AQS","11","34","54","40"
"01/09/2017","34","Ozone","Dallas Hinton","48-113-0069","AQS","2","34","22","25"
"01/10/2017","42","NO2","Dallas LBJ Freeway","48-113-1067","AQS","10","30","28","42"
"01/11/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","10","35","34","8"
"01/12/2017","45","PM2.5","Dallas Hinton","48-113-0069","AQS","2","25","45","17"
"01/13/2017","59","PM2.5","Convention Center","48-113-0050","AQS","2","9","59","17"
"01/14/2017","41","PM2.5","Dallas Hinton","48-113-0069","AQS","3","5","41","9"
"01/15/2017","40","PM2.5","Dallas Hinton","48-113-0069","AQS","5","21","40","11"
"01/16/2017","25","NO2","Dallas LBJ Freeway","48-113-1067","AQS","3","19","13","25"
"01/17/2017","18","NO2","Dallas LBJ Freeway","48-113-1067","AQS","3","10","12","18"
"01/18/2017","22","PM2.5","Dallas Hinton","48-113-0069","AQS","3","9","22","19"
"01/19/2017","25","PM2.5","Convention Center","48-113-0050","AQS","3","18","25","17"
"01/20/2017","35","NO2","Dallas Hinton","48-113-0069","AQS","3","34","10","35"
"01/21/2017","39","PM2.5","Dallas Hinton","48-113-0069","AQS","3","33","39","29"
"01/22/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","2","35","11","10"
"01/23/2017","31","Ozone","Dallas North #2","48-113-0075","AQS","3","31","21","29"
"01/24/2017","39","Ozone","Dallas North #2","48-113-0075","AQS","2","39","23","25"
"01/25/2017","27","Ozone","Dallas North #2","48-113-0075","AQS","2","27","18","14"
"01/26/2017","39","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","31","25","39"
"01/27/2017","37","Ozone","Dallas North #2","48-113-0075","AQS","8","37","35","36"
"01/28/2017","36","Ozone","Dallas North #2","48-113-0075","AQS","3","36","20","29"
"01/29/2017","39","Ozone","Dallas Hinton","48-113-0069","AQS","3","39","18","33"
"01/30/2017","48","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","31","22","48"
"01/31/2017","44","Ozone","Dallas North #2","48-113-0075","AQS","5","44","22","34"
"02/01/2017","51","NO2","Dallas LBJ Freeway","48-113-1067","AQS","3","44","39","51"
"02/02/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","35","17"
"02/03/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","52","28"
"02/04/2017","45","PM2.5","Dallas Hinton","48-113-0069","AQS","2","28","45","12"
"02/05/2017","58","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","58","8"
"02/06/2017","36","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26","36","8"
"02/07/2017","42","NO2","Dallas Hinton","48-113-0069","AQS","7","32","33","42"
"02/08/2017","36","NO2","Dallas North #2","48-113-0075","AQS","8","28","29","36"
"02/09/2017","38","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","38","28"
"02/10/2017","58","PM2.5","Dallas Hinton","48-113-0069","AQS","3","44","58","24"
"02/11/2017","57","PM2.5","Dallas Hinton","48-113-0069","AQS","2","40","57","7"
"02/12/2017","46","PM2.5","Convention Center","48-113-0050","AQS","2","38","46","6"
"02/13/2017","33","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","33","21","14"
"02/14/2017","27","Ozone","Dallas Hinton","48-113-0069","AQS","1","27","15","15"
"02/15/2017","37","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","36","14","37"
"02/16/2017","41","Ozone","Dallas North #2","48-113-0075","AQS","7","41","24","33"
"02/17/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","3","43","24","31"
"02/18/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","3","43","30","24"
"02/19/2017","59","PM2.5","Dallas Hinton","48-113-0069","AQS","3","29","59","11"
"02/20/2017","31","Ozone","Dallas North #2","48-113-0075","AQS","2","31","14","21"
"02/21/2017","35","NO2","Dallas Hinton","48-113-0069","AQS","2","34","15","35"
"02/22/2017","48","Ozone","Dallas North #2","48-113-0075","AQS","6","48","27","31"
"02/23/2017","67","Ozone","Dallas North #2","48-113-0075","AQS","2","67","24","29"
"02/24/2017","31","Ozone","Dallas Hinton","48-113-0069","AQS","1","31","17","16"
"02/25/2017","36","Ozone","Dallas Hinton","48-113-0069","AQS","2","36","18","36"
"02/26/2017","54","PM2.5","Dallas Hinton","48-113-0069","AQS","3","34","54","29"
