"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2009","36","PM2.5","","54-009-0011","AQS","5","8","36"
"01/02/2009","12","PM10","","54-009-0011","AQS","5","12","."
"01/03/2009","14","PM10","","54-009-0011","AQS","6","14","."
"01/04/2009","71","PM2.5","","54-009-0011","AQS","7","21","71"
"01/05/2009","7","PM10","","54-009-0011","AQS","6","7","."
"01/06/2009","9","PM10","","54-009-0011","AQS","6","9","."
"01/07/2009","45","PM2.5","","54-009-0011","AQS","7","11","45"
"01/08/2009","12","PM10","","54-009-0011","AQS","5","12","."
"01/09/2009","12","PM10","","54-009-0011","AQS","5","12","."
"01/10/2009","63","PM2.5","","54-009-0011","AQS","7","14","63"
"01/11/2009","9","PM10","","54-009-0011","AQS","6","9","."
"01/12/2009","11","PM10","","54-009-0011","AQS","5","11","."
"01/13/2009","47","PM2.5","","54-009-0005","AQS","5","12","47"
"01/14/2009","9","PM10","","54-009-0011","AQS","6","9","."
"01/15/2009","9","PM10","","54-009-0011","AQS","6","9","."
"01/16/2009","44","PM2.5","","54-009-0005","AQS","6","10","44"
"01/17/2009","18","PM10","","54-009-0011","AQS","8","18","."
"01/18/2009","10","PM10","","54-009-0011","AQS","5","10","."
"01/19/2009","77","PM2.5","","54-009-0005","AQS","6","23","77"
"01/20/2009","17","PM10","","54-009-0011","AQS","7","17","."
"01/21/2009","17","PM10","","54-009-0011","AQS","7","17","."
"01/22/2009","62","PM2.5","","54-009-0011","AQS","6","19","62"
"01/23/2009","32","PM10","","54-009-0011","AQS","8","32","."
"01/24/2009","7","PM10","","54-009-0011","AQS","5","7","."
"01/25/2009","54","PM2.5","","54-009-0005","AQS","6","13","54"
"01/26/2009","13","PM10","","54-009-0011","AQS","6","13","."
"01/27/2009","16","PM10","","54-009-0011","AQS","6","16","."
"01/28/2009","66","PM2.5","","54-009-0005","AQS","7","12","66"
"01/29/2009","16","PM10","","54-009-0011","AQS","5","16","."
"01/30/2009","9","PM10","","54-009-0011","AQS","3","9","."
