"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2021","38","PM2.5","","54-009-0005","AQS","6","38"
"01/02/2021","5","PM10","","54-009-0011","AQS","5","."
"01/03/2021","6","PM10","","54-009-0011","AQS","6","."
"01/04/2021","32","PM2.5","","54-009-0005","AQS","6","32"
"01/05/2021","10","PM10","","54-009-0011","AQS","10","."
"01/06/2021","8","PM10","","54-009-0011","AQS","8","."
"01/07/2021","33","PM2.5","","54-009-0005","AQS","7","33"
"01/08/2021","8","PM10","","54-009-0011","AQS","8","."
"01/09/2021","12","PM10","","54-009-0011","AQS","12","."
"01/10/2021","68","PM2.5","","54-009-0011","AQS","22","68"
"01/11/2021","24","PM10","","54-009-0011","AQS","24","."
"01/12/2021","18","PM10","","54-009-0011","AQS","18","."
"01/13/2021","62","PM2.5","","54-009-0005","AQS","16","62"
"01/14/2021","14","PM10","","54-009-0011","AQS","14","."
"01/15/2021","10","PM10","","54-009-0011","AQS","10","."
"01/16/2021","56","PM2.5","","54-009-0005","AQS","9","56"
"01/17/2021","5","PM10","","54-009-0011","AQS","5","."
"01/18/2021","5","PM10","","54-009-0011","AQS","5","."
"01/19/2021","33","PM2.5","","54-009-0005","AQS","8","33"
"01/20/2021","9","PM10","","54-009-0011","AQS","9","."
"01/21/2021","12","PM10","","54-009-0011","AQS","12","."
"01/22/2021","33","PM2.5","","54-009-0005","AQS","8","33"
"01/23/2021","9","PM10","","54-009-0011","AQS","9","."
"01/24/2021","12","PM10","","54-009-0011","AQS","12","."
"01/25/2021","61","PM2.5","","54-009-0005","AQS","16","61"
"01/26/2021","6","PM10","","54-009-0011","AQS","6","."
"01/27/2021","6","PM10","","54-009-0011","AQS","6","."
"01/28/2021","21","PM2.5","","54-009-0005","AQS","6","21"
"01/29/2021","8","PM10","","54-009-0011","AQS","8","."
"01/30/2021","20","PM10","","54-009-0011","AQS","20","."
"01/31/2021","35","PM2.5","","54-009-0005","AQS","9","35"
"02/01/2021","7","PM10","","54-009-0011","AQS","7","."
"02/02/2021","6","PM10","","54-009-0011","AQS","6","."
"02/03/2021","40","PM2.5","","54-009-0005","AQS","8","40"
"02/04/2021","22","PM10","","54-009-0011","AQS","22","."
"02/05/2021","7","PM10","","54-009-0011","AQS","7","."
"02/06/2021","29","PM2.5","","54-009-0005","AQS","7","29"
"02/07/2021","13","PM10","","54-009-0011","AQS","13","."
"02/08/2021","17","PM10","","54-009-0011","AQS","17","."
"02/09/2021","58","PM2.5","","54-009-0005","AQS","13","58"
"02/10/2021","13","PM10","","54-009-0011","AQS","13","."
"02/11/2021","10","PM10","","54-009-0011","AQS","10","."
"02/12/2021","70","PM2.5","","54-009-0005","AQS","15","70"
"02/13/2021","15","PM10","","54-009-0011","AQS","15","."
