"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/02/2002","49","Ozone","Centennial","56-001-9991","AQS","49","17","0"
"01/03/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"01/04/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"01/05/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","2"
"01/06/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"01/07/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"01/08/2002","42","Ozone","Centennial","56-001-9991","AQS","42","17","1"
"01/09/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/10/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","."
"01/11/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","1"
"01/12/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/13/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"01/14/2002","67","Ozone","Centennial","56-001-9991","AQS","67","19","1"
"01/15/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/16/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"01/17/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","6"
"01/18/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/19/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"01/20/2002","80","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","43","80","3"
"01/21/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/22/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"01/23/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","2"
"01/24/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/25/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"01/26/2002","44","Ozone","Centennial","56-001-9991","AQS","44","18","2"
"01/27/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"01/28/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/29/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","1"
"01/30/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/31/2002","42","Ozone","Centennial","56-001-9991","AQS","42",".","."
"02/01/2002","45","Ozone","Centennial","56-001-9991","AQS","45","11","2"
"02/02/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/03/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"02/04/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","3"
"02/05/2002","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
"02/06/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/07/2002","49","Ozone","Centennial","56-001-9991","AQS","49","25","2"
"02/08/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"02/09/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"02/10/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/11/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
