Total consumption - COAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/20?agg=1,0&geo=vvvvvvvvvvvvo&sec=g&freq=Q&start=200001&end=202203&ctype=map&ltype=pin&rtype=s&rse=0&pin=&maptype=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 22 2023 18:09:54 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
Total consumption,short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric power,short tons,COAL.CONS_TOT.US-98.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric power : United States,short tons,COAL.CONS_TOT.US-98.Q,--,--,--,--,241715247,229370911,263450241,229896536,230391485,231652931,268662789,246799507,249365384,232085228,271853866,251811684,252263029,238498620,270735096,254771267,255694268,242306121,282054068,257430105,250859702,240393818,279623437,255759074,257515760,246590911,283556467,257478349,264300643,247156276,278997897,250125273,236842011,216502021,244444531,235838388,246445006,229469459,267942736,231195289,235953140,224176535,262618081,209736329,190663951,185720513,238075673,209091354,211970807,199844705,237204694,208941568,231533582,195921609,231065566,193081103,196656182,174375551,214811313,152601037,152744227,147491312,210511874,167807073,160568993,154229938,190544719,159649403,155420020,144112378,181691015,155993458,145189427,117770530,155611793,120033850,97974844,87101309,139008772,111741925,127648315,113708194,157020896,102988304,122626750,107247380,134716438
Electric power : New England,short tons,COAL.CONS_TOT.NEW-98.Q,--,--,--,--,2145729,1692765,1882077,1975106,1964567,1712319,1935884,2245157,2187947,1817215,2180553,2014534,2183815,1823876,2222408,2086246,2315590,2113500,2333596,2200538,2305274,1910717,2354849,2204313,2357668,2195423,2353578,1910930,2139790,1822511,2183150,2264258,2021570,1438128,1351683,1518175,1808190,1404162,1750853,1201062,1358908,616641,716830,332372,588757,206100,579729,545697,1254310,278584,521139,737283,1584845,203278,159097,392714,1364039,36152,161931,281513,497715,147753,298409,355881,628909,91758,34792,141260,298488,87105,73310,NM,144901,28394,46315,56742,41775,11677,15428,50365,267770,25696,32965,23716,137614,16236,24877
Electric power : Connecticut,short tons,COAL.CONS_TOT.CT-98.Q,--,--,--,--,447240,401770,419530,354790,416945,372810,325901,392224,528700,524520,524497,473695,569626,512247,544008,506580,555688,527154,536411,450931,597171,547796,588543,511320,588696,524045,554741,268118,580831,494861,596343,549027,408634,174887,229790,382788,357368,299950,436579,271769,154739,35122,135611,0,103685,88595,113013,109734,191634,15254,61274,150406,360920,25326,33452,79621,335999,2585,13558,6580,38392,0,34642,55269,53880,8574,10545,64444,115809,30327,21799,52643,45783,0,1745,0,0,0,1966,1692,157874,0,0,0,0,0,0
Electric power : Maine,short tons,COAL.CONS_TOT.ME-98.Q,--,--,--,--,49280,43330,44830,42770,57267,59488,63082,40767,39398,37084,47352,39968,48146,44700,35809,39102,35283,42257,35214,32845,35467,41202,33467,36754,37138,33047,30892,35422,42139,42078,28398,14467,10643,5631,3791,13894,19708,9786,9205,15526,14504,7711,5578,10540,8230,6084,5358,12097,16292,6843,3184,11946,24323,14553,5117,8966,33101,12741,10740,17460,21861,12831,14695,21103,25772,8485,11729,20324,23062,11334,12077,15887,24019,11489,13934,19920,19782,8926,13462,15872,18115,13756,20371,16573,23559,14189,9361
Electric power : Massachusetts,short tons,COAL.CONS_TOT.MA-98.Q,--,--,--,--,1230319,968775,1005048,1154681,1079124,956883,1138246,1428577,1201569,970756,1181203,1036253,1141510,943963,1162991,1108080,1293866,1168354,1285804,1276878,1210607,992752,1307151,1239179,1318687,1321068,1326544,1153968,1086550,1036684,1166990,1290340,1177063,900284,912471,901746,1042504,806605,945553,702502,805658,384864,389099,182962,257255,94553,332967,269028,684765,216144,366643,450896,816487,142479,86746,198090,642633,15708,110135,236828,369697,130982,198579,207771,503106,55814,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--
Electric power : New Hampshire,short tons,COAL.CONS_TOT.NH-98.Q,--,--,--,--,418890,278890,412669,422865,411231,323138,408655,383589,418280,284855,427501,464618,424532,322966,479600,432483,430753,375735,476167,439884,462029,328967,425688,417060,413147,317263,441401,453422,430270,248888,391419,410424,425230,357326,205631,219747,388610,287821,359516,211265,384007,188944,186542,138870,219587,16868,128391,154838,361619,40343,90038,124035,383115,20920,33782,106037,352306,5118,27498,20645,67765,3940,50493,71738,46151,18885,12518,56492,159617,45444,39434,NM,75099,16905,30636,36822,21993,2751,0,32801,91781,11940,12594,7143,114055,2047,15516
Electric power : Rhode Island,short tons,COAL.CONS_TOT.RI-98.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric power : Vermont,short tons,COAL.CONS_TOT.VT-98.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
