"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	453	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	381	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	574	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	415	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	330	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	276	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	300	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	284	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	260	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	285	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	306	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	481	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	634	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	420	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	360	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	325	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	279	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	291	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	255	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	261	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	282	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	272	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	398	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	479	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	391	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	415	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	371	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	380	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	296	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	293	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	262	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	282	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	321	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	357	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2001"	"2001/12"	383	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2002"	"2002/01"	441	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2002"	"2002/02"	460	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2002"	"2002/03"	518	Not Applicable	Not Applicable
